job_id,job_title,company,requirement_id,normalized_requirement,source_text,importance,gt_label,pred_label,outcome,transition,gt_evidence_ids,pred_evidence_ids,pred_evidence_all_valid,grounding_valid,is_or_list,is_compound,gt_uses_evidence,pred_uses_evidence,normalized_reason,root_cause_groups
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Senior Product Manager - AI Agent,Veeva,reqv2_7d915e68d837899a,AI Agent 设计交付、上下文工程、人机协同与质量评估的动手经验,"Hands-on experience designing, delivering, or continuously improving AI Agent products, including prompt/context engineering, human-in-the-loop workflows, and AI quality evaluation.",Important,Partial,Partial,correct,Partial->Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,False,False,True,True,"候选人在 GoFin 项目中负责 LLM 集成、RAG 和对话式目标创建,并在中国电子云实习期间参与大模型应用探索,具备一定 AI Agent 产品交付基础。但简历未体现明确的 prompt/context 工程、人机协同工作流设计或 AI 质量评估体系搭建经验,动手深度和系统化程度有限。",
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Senior Product Manager - AI Agent,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,"Experience with enterprise SaaS products, configurable platforms, or multi-tenant product environments.",Preferred,Partial,Missing,incorrect,Partial->Missing,resume_extracted:28,,,True,False,False,True,False,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,AI 产品经理实习生（J103757）,百度,reqv2_c947d1b13c08af32,计算机或人工智能相关专业,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,True,True,False,False,True,True,"候选人本科毕业于厦门大学软件工程专业,目前在读 UNSW 信息技术(AI)双硕士,教育背景完全符合计算机和人工智能相关专业要求。",
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,AI 产品经理实习生（J103757）,百度,reqv2_ab313b520bea36f1,具有 AI 产品深度使用经验,对 AI 产品充满热情，有深度使用经验,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,False,False,True,True,"候选人在中国电子云担任 AI 大模型实习生,参与产品需求讨论和大模型应用探索;在 GoFin 项目中负责 LLM 集成和 RAG 实现,具备大语言模型应用开发和 RAG 文件分析等深度使用经验。",
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,AI产品经理（J84006）,百度,reqv2_0431fe88ab60c3c3,计算机或人工智能相关专业,本科及以上学历，计算机、人工智能等相关专业优先,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:1|resume_extracted:resume:1:education:0,True,True,False,False,True,True,候选人拥有厦门大学软件工程学士学位，目前在读UNSW信息技术(AI)硕士，完全符合计算机或人工智能相关专业要求。,
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,AI产品经理（J84006）,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先,Preferred,Missing,Partial,incorrect,Missing->Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,True,True,False,True,候选人在中国电子云有AI大模型实习经验，参与过LLM集成和RAG应用开发，但缺少多模态、AIGC或社交娱乐产品的直接经验，且实习经历未达2年产品设计要求。,technology_adjacency|general_model_experience_credited
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,AI产品经理（J84492）,百度,reqv2_8e1b2b33ed5b36a1,语音交互大模型方向工作或科研经历,国内重点院校本科/研究生毕业，有语音交互大模型等相关方向工作经验或科研项目经历优先,Preferred,Missing,Partial,incorrect,Missing->Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,True,False,False,True,候选人有AI大模型实习经历和LLM应用开发经验，但缺乏语音交互方向的具体工作或科研项目。现有经验集中在通用大模型应用、RAG和对话系统，未涉及语音模态。,technology_adjacency|general_model_experience_credited
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,AI产品经理（J84492）,百度,reqv2_4ac50e528b3f51b6,用户行为研究或商业分析经验,有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:20|resume_extracted:23|resume_extracted:27,resume_extracted:16|resume_extracted:19|resume_extracted:20|resume_extracted:resume:1:domain_experience:3,True,True,False,False,True,True,候选人在KPay Group担任数据分析/增长运营实习生期间，设计渠道增长策略、优化转化路径、建立KPI监控体系，并为业务团队提供数据洞察，具备扎实的用户行为研究和商业分析经验。,
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,AI产品经理（J84492）,百度,reqv2_63b051ca5b06efc5,洞察与规律总结能力,有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:19|resume_extracted:20,resume_extracted:19|resume_extracted:20|resume_extracted:27|resume_extracted:23,True,True,False,False,True,True,候选人通过数据分析优化转化路径、构建业务分析报告提供洞察、分析客户反馈优化服务体验，展现了较强的洞察能力和规律总结能力。,
baidu:6182a4d3-51af-4396-af24-a3d690326bff,AI产品经理（J96736）,百度,reqv2_43b703bc49720527,计算机、人工智能或数学相关专业,本科及以上学历，计算机、人工智能、数学或相关专业优先,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:1|resume_extracted:resume:1:education:0|resume_extracted:21|resume_extracted:29,True,True,True,False,True,True,候选人本科为软件工程专业，硕士为信息技术（AI）方向，完全符合计算机、人工智能相关专业要求。多个项目经历展示了AI、数据分析等相关技术应用能力。,
