model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
kimi-k3,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_7d915e68d837899a,AI Agent 设计交付、上下文工程、人机协同与质量评估的动手经验,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,在 GoFin 项目中以 Product Owner 身份负责 LLM 集成、RAG 与对话式目标创建的完整交付，并在大模型实习中参与产品需求与大模型应用探索，直接覆盖 AI Agent 设计交付与上下文工程实践。,misclassification
kimi-k3,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,Partial,Missing,resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
kimi-k3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,Missing,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人有LLM应用开发、RAG及大模型产品实习经验，与AIGC方向有一定重叠，但没有明确的多模态大模型或社交娱乐类产品经验，覆盖不完整。,misclassification
kimi-k3,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_07af529c4484028b,相关 AI 策略产品经理工作经历（搜索/推荐/对话/电商/数字人等）,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,在 GoFin 项目担任 Product Owner，负责 LLM 集成、RAG 与对话式目标创建，覆盖对话类 AI 策略产品实践；并在中国电子云参与大模型应用方向探索，具备相关 AI 产品经历。,misclassification
kimi-k3,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_49c9c07f1ba12d7b,对大模型数据质量与评估有判断力,Partial,Strong,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:22|resume_extracted:resume:1:ai_experience:11|resume_extracted:29,True,执行过数据清洗与特征工程以支撑模型训练，并具备模型性能评估经历，在 NLP 项目中完成模型训练评估，体现对数据质量与评估的判断能力。,misclassification
kimi-k3,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,reqv2_7e3a449a4232300b,AI 平台类或 B 端产品经验,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:21|resume_extracted:23,True,在 GoFin 智能财务目标管理平台担任 Product Owner，负责 LLM 集成、RAG 和对话式目标创建，属于 AI 平台类产品的完整实践；中国电子云 AI 大模型实习参与产品需求讨论与竞品分析，进一步补充了企业侧 AI 产品经验。,misclassification
kimi-k3,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,reqv2_f7ca00a2f542fb78,复杂需求抽象、客户场景理解与产品工具使用,Partial,Strong,resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:product_experience:5,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:product_experience:7,True,GoFin 项目中负责需求管理、Backlog、User Stories 与客户反馈处理，直接体现复杂需求抽象与产品经理工具使用；中国电子云实习中分析用户场景并参与需求讨论，佐证了对客户场景的理解。,misclassification
kimi-k3,tencent:2092538895714664448,腾讯,reqv2_7c4b6a0fd084f77d,开发者工具、研发效能或平台型产品经验,Missing,Partial,,resume_extracted:28,True,候选人在GoFin智能财务目标管理平台担任Product Owner，具备平台型产品的需求与交付实践；但无开发者工具或研发效能领域的直接经验。,misclassification
kimi-k3,tencent:2088450750270324736,腾讯,reqv2_f10bb045c924ce66,Agent 评测经验,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
kimi-k3,tencent:2088450750270324736,腾讯,reqv2_e0d891d785e65c39,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,GoFin 项目包含对话式目标创建与 LLM/RAG 集成，属于对话式 AI 与知识管理相关产品经验，直接命中该生态经验要求（该项本身为优先项）。,misclassification
