priority_tier,scenario_id,scenario_category,job_title,career_stage,role_family,requirement_text,requirement_type,importance,draft_importance,importance_rationale,expected_label,gt_inconsistency_risk,human_match_label_adjudicated,human_importance,importance_review_status,importance_uncertain,human_importance_notes
A_scenario_requires_manual_review,D03,partial_missing_boundary,AI 基础设施产品经理,experienced,platform_enterprise_product,独立承担过大型 AI Infra 系统的设计、开发与调测,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,Partial,,pending,,
A_scenario_requires_manual_review,D06,partial_missing_boundary,AI 训练数据产品经理,early_career,data_product,有大规模标注体系与训练数据闭环的专项经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,Partial,,pending,,
B_compound_probes,F01,compound,数据实验产品经理,campus_new_grad,data_product,熟练使用 SQL 且 具备 A/B 实验设计与执行能力,matchable,Critical,Critical,draft=Critical. probe is a compound core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,HIGH,Partial,,pending,,
B_compound_probes,F02,compound,Agent 产品经理,experienced,ai_product,具备 Agent 设计能力 且 Agent 专项评测能力,matchable,Critical,Critical,draft=Critical. probe is a compound core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,MEDIUM,Partial,,pending,,
B_compound_probes,F03,compound,企业 AI 商业化产品经理,experienced,strategy_growth_fintech_product,有企业级产品经验 且 完整商业化闭环经验,matchable,Critical,Critical,draft=Critical. probe is a compound core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,MEDIUM,Partial,,pending,,
B_compound_probes,F04,compound,全栈 AI 产品经理,early_career,ai_product,具备 LLM 应用交付能力 且 模型精度调优能力,matchable,Critical,Critical,draft=Critical. probe is a compound core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,HIGH,Partial,,pending,,
B_compound_probes,F05,compound,数据治理产品经理,experienced,data_product,有数据开发经验 且 数据治理全流程经验,matchable,Critical,Critical,draft=Critical. probe is a compound core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,LOW,Partial,,pending,,
C_or_alternative_probes,E01,or_alternative,行业 AI 产品经理,early_career,strategy_growth_fintech_product,有 金融 或 保险 或 支付 行业经验（满足其一即可）,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test (OR-list); generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
C_or_alternative_probes,E02,or_alternative,AI 能力产品经理,campus_new_grad,ai_product,有 Agent 或 RAG 或 工作流自动化 经验（满足其一即可）,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test (OR-list); generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
C_or_alternative_probes,E03,or_alternative,数据方向产品经理,campus_new_grad,data_product,熟练使用 SQL 或 Python 进行数据分析（满足其一即可）,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test (OR-list); generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
C_or_alternative_probes,E04,or_alternative,场景 AI 产品经理,early_career,ai_product,有 对话式 AI 或 推荐 或 搜索 产品经验（满足其一即可）,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test (OR-list); generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
C_or_alternative_probes,E05,or_alternative,增长 AI 产品经理,campus_new_grad,strategy_growth_fintech_product,有 用户增长 或 用户运营 或 内容平台 经验（满足其一即可）,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test (OR-list); generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
D_project_vs_formal_work_probes,B02,project_vs_formal_work,AI 产品负责人,experienced,ai_product,有从 0 到 1 主导产品并取得可量化业务成果的经历,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
