model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
kimi-k3,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,Partial,Missing,resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
kimi-k3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,Missing,Partial,,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人在GoFin产品和中国电子云实习中负责LLM集成、RAG和大模型应用方向探索，与AIGC分支有实质重叠；但无多模态大模型或社交娱乐类产品的直接经验，且作为应届生不具备2年产品设计经验。,misclassification
kimi-k3,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,reqv2_4ac50e528b3f51b6,用户行为研究或商业分析经验,Strong,Partial,resume_extracted:20|resume_extracted:23|resume_extracted:27,resume_extracted:20|resume_extracted:19|resume_extracted:27,True,在 KPay Group 构建业务分析报告并提供数据洞察，在银行实习中分析客户反馈，属于商业分析与用户反馈分析的实习经历；但非系统的用户行为研究，深度有限。,misclassification
kimi-k3,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,reqv2_63b051ca5b06efc5,洞察与规律总结能力,Strong,Partial,resume_extracted:19|resume_extracted:20,resume_extracted:20|resume_extracted:19|resume_extracted:16,True,通过数据分析优化转化路径、建立 KPI 体系并输出业务洞察，体现了一定的规律总结与洞察能力；但缺少系统的研究方法论或高质量文字洞察成果的直接证据。,misclassification
kimi-k3,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,reqv2_1dbe0ee8f6b62193,逻辑思维与问题解决能力,Strong,Partial,resume_extracted:19|resume_extracted:30|resume_extracted:28,resume_extracted:18|resume_extracted:30|resume_extracted:19|resume_extracted:23,True,候选人通过搭建数据架构、归因逻辑、百万级数据分析和竞品分析体现了逻辑思维与问题解决能力，但缺少对该能力的直接、体系化证明。,misclassification
kimi-k3,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_49c9c07f1ba12d7b,对大模型数据质量与评估有判断力,Partial,Strong,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:22|resume_extracted:resume:1:ai_experience:11|resume_extracted:29|resume_extracted:30,True,候选人有大模型实习中的数据清洗与特征工程经历，并在多个项目中完成模型训练评估和数据质量处理，对数据质量与模型评估有直接实践经验。,misclassification
kimi-k3,tencent:2092538895714664448,腾讯,reqv2_7c4b6a0fd084f77d,开发者工具、研发效能或平台型产品经验,Missing,Partial,,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:18,True,候选人有GoFin平台型产品的Product Owner项目经历和数据架构搭建经验，与“平台型产品”有一定重叠；但没有开发者工具或研发效能方向的直接经验，且平台经验来自项目而非正式产品岗位。,misclassification
kimi-k3,tencent:2088450750270324736,腾讯,reqv2_e0d891d785e65c39,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:4|resume_extracted:resume:1:ai_experience:0,True,该要求为多个备选方向之一即可，候选人主导的 GoFin 平台包含对话式目标创建与 RAG 文件分析，直接覆盖对话/知识管理类 AI 产品生态经验。,misclassification
kimi-k3,tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,GoFin项目中负责LLM集成、RAG和对话式功能，具备LLM/Agent方向的产品化落地经验，满足至少一个方向；但C端正式产品属性与规模不明确，且无多模态/语音交互证据。,misclassification
kimi-k3,tencent:1978467627152072704,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:16,True,作为GoFin产品负责人独立完成需求梳理、Backlog管理到跨职能交付的全流程，并在KPay从0设计渠道增长策略与运营框架，体现系统性思考与从0到1能力。,misclassification
kimi-k3,tencent:2052527703940313088,腾讯,reqv2_d51e7d995d268f8f,产品判断力与用户共情能力,Strong,Partial,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:23|resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:21,True,候选人通过竞品分析、客户反馈分析与用户场景分析体现了一定产品判断与用户理解，但缺少独立产品决策成果的佐证，深度待验证。,misclassification
kimi-k3,tencent:2052527703940313088,腾讯,reqv2_2aa26881dbfb4a32,设计可扩展方案并推动跨团队闭环,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,resume_extracted:resume:1:product_experience:5|resume_extracted:28|resume_extracted:resume:1:technical_experience:8|resume_extracted:resume:1:product_experience:9,True,候选人有跨职能团队（前端、后端、AI、数据库、测试）协调与数据架构设计、迭代交付经验，但多为项目级经历，可扩展方案设计与跨团队闭环的规模和复杂度证据不足。,misclassification
kimi-k3,tencent:2077246089718837248,腾讯,reqv2_f2105cecb6db9371,B 端 / 数据 / AI / 研发效能平台或企业内部系统产品经验,Partial,Strong,resume_extracted:28,resume_extracted:18|resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,True,该条为'或'连接的优先项，候选人在 KPay 搭建数据架构与自动化 ETL（数据平台）、在中国电子云参与 AI 大模型产品需求（AI 平台），并担任 GoFin 智能财务平台 Product Owner，直接命中其中多个分支。虽以实习/项目为主，但与所列平台类型高度对应。,misclassification
kimi-k3,tencent:2077246089718837248,腾讯,reqv2_5b0126d99d34bf17,结构化思维：将复杂业务拆解为产品模块 / 数据流程 / 权限,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:18|resume_extracted:28|resume_extracted:16|resume_extracted:resume:1:technical_experience:8,True,候选人在 KPay 将增长业务拆解为数据架构与 ETL 流程、在 GoFin 拆解需求为 Backlog 与 User Stories，体现了将复杂业务结构化为产品模块与数据流程的能力。但'权限关系'拆解这一子维度缺乏直接证据，故为 Partial。,misclassification
kimi-k3,tencent:2013806539382611968,腾讯,reqv2_d9a6fa37fdf720f1,将数据工作流抽象为可执行可评估的产品方案,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:28|resume_extracted:18|resume_extracted:19,True,作为GoFin Product Owner拆解需求、Backlog与User Stories，并在KPay将数据流程落地为ETL与归因逻辑，体现一定抽象与产品化能力。但缺少将复杂数据工作流完整抽象为可执行可评估产品方案的直接案例。,misclassification
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_a6ad3fd74c22598d,理解数仓架构、熟悉数据开发与治理流程,Partial,UNRECONCILED,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_b6da57f753507117,熟练使用 SQL,Strong,UNRECONCILED,resume_extracted:18|resume_extracted:resume:1:skills:4,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_b6cf969fde1203cf,数据产品策划或运营经验,Partial,UNRECONCILED,resume_extracted:16|resume_extracted:18|resume_extracted:28,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_8e372cde74f05aee,逻辑思维与数据分析能力,Strong,UNRECONCILED,resume_extracted:19|resume_extracted:20|resume_extracted:30,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_ffe28d59054b4e26,沟通与项目管理能力,Strong,UNRECONCILED,resume_extracted:28|resume_extracted:resume:1:product_experience:5,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_468aa07a31e8d40c,LLM、Prompt、RAG 与 Agent 实践经验,Partial,UNRECONCILED,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_892a54d1bde059a0,评估 AI 方案的业务价值与可行性,Strong,UNRECONCILED,resume_extracted:21|resume_extracted:28,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_dc5ab6550342d109,金融行业相关从业经验,Strong,UNRECONCILED,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,,,,unreconciled
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_c69557b2d2e39287,具备技术背景,Strong,UNRECONCILED,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,,,,unreconciled
kimi-k3,tencent:1994013057063473152,腾讯,reqv2_593ead863ea05b72,观察分析并识别关键问题,Strong,Partial,resume_extracted:19|resume_extracted:20|resume_extracted:27,resume_extracted:19|resume_extracted:20|resume_extracted:27,True,候选人有通过数据分析优化转化路径、输出业务洞察、分析客户反馈并提出优化建议的经历，体现了问题识别能力，但缺少明确识别关键问题、分清主次矛盾的直接事例。,misclassification
kimi-k3,tencent:1994013057063473152,腾讯,reqv2_595484b60afecce0,逻辑抽象与系统思考能力,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:technical_experience:8,True,候选人设计过增长运营框架、潜客数据架构与归因逻辑，具备一定框架化与系统思考能力，但证据主要为执行层面，逻辑抽象能力的深度体现有限。,misclassification
kimi-k3,tencent:2078278970276753408,腾讯,reqv2_f982055a8756f25d,熟悉企业经营管理流程,Missing,Partial,,resume_extracted:16|resume_extracted:19|resume_extracted:26,True,候选人在KPay参与渠道增长运营框架设计、KPI体系建设，并在银行实习中接触合规审核，对企业业务运营流程有一定实践，但未直接涉及企业整体经营管理流程，深度有限。,misclassification
kimi-k3,tencent:2041409199149314048,腾讯,reqv2_2a8d6b3110257858,AI / 策略 / 评测产品相关经验,Partial,Strong,resume_extracted:28|resume_extracted:21,resume_extracted:21|resume_extracted:23|resume_extracted:28|resume_extracted:resume:1:ai_experience:11,True,候选人在中国电子云担任AI大模型实习生，参与需求讨论与竞品分析，并在GoFin项目中以Product Owner身份负责LLM集成与RAG功能，且有模型性能评估经历，覆盖AI产品与评测相关经验。,misclassification
kimi-k3,tencent:2041409199149314048,腾讯,reqv2_23a50d8ef3c57335,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,True,候选人有明确的大模型与智能对话（对话式目标创建、RAG）方向经验，可覆盖大模型/智能对话分支，但缺乏ASR、AI搜索、语音助手等方向的直接证据。,misclassification
kimi-k3,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,reqv2_866eff0ae6a7bf23,already uses AI tooling to build/ship faster,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4|resume_extracted:21,True,候选人在 GoFin 项目中主导 LLM 集成与 RAG 对话式功能交付，并具备大语言模型应用开发和 RAG 文件分析经历，直接证明其已用 AI 工具加速构建与交付。,misclassification
kimi-k3,huawei:28183,华为,reqv2_1c9199d15075aa37,大模型精度调优、基模或强化学习训练经验,Missing,Partial,,resume_extracted:22|resume_extracted:29|resume_extracted:resume:1:ai_experience:11,True,有数据清洗、特征工程和模型训练评估经验，与模型训练有一定重叠，但无大模型精度调优、基模训练或RL训练的直接证据。,misclassification
