scenario_id,scenario_category,requirement_id,requirement_text,requirement_type,scenario_draft_label,human_label,human_review_status,review_source,gt_source,adjudicated_at,human_notes
C02,strong_partial_boundary,synreq_7356f75ca5b3,有 RAG 系统的生产环境部署与调优经验,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Candidate has direct RAG product practice and RAG was integrated into a fully delivered LLM/conversational product covering requirements through launch/iteration. Frozen evidence does NOT explicitly prove independent production-environment RAG deployment, operations, or dedicated production tuning. Meaningful direct overlap exists but is materially incomplete."
D08,partial_missing_boundary,synreq_547fc6b8bdef,有开放平台 / 插件生态 / MCP 建设经验,matchable,Missing,Missing,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Candidate has Agent, RAG and AI-tool experience, but no verified evidence of building an open platform, plugin ecosystem, third-party developer access mechanism, or MCP infrastructure. Adjacent AI capabilities that do not demonstrate the requested platform-ecosystem construction capability."
F01,compound,synreq_37d1af10e82c,熟练使用 SQL 且 具备 A/B 实验设计与执行能力,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"SQL is directly and strongly evidenced. Candidate also has controlled-experiment / ablation experience through JobPilot evaluation work (controlled model comparisons; fixed Dataset/GT/scoring; Prompt A/B/C ablation; control-variable and comparative experimental design). This is NOT equivalent to real-user randomized online A/B testing, traffic splitting, or production experimentation. The A/B experimentation subclaim therefore has meaningful but incomplete evidence and the combined requirement is Partial. (Do not rewrite JobPilot prompt/model evaluation as production online A/B testing.)"
F02,compound,synreq_1f3464006320,具备 Agent 设计能力 且 Agent 专项评测能力,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Candidate has meaningful Agent/conversational-product delivery experience and model/Agent product evaluation practice, but Agent-specific design depth and a dedicated Agent evaluation/quality-regression system are not fully evidenced. Both subclaims have meaningful but incomplete support."
F03,compound,synreq_47385f8d6c6c,有企业级产品经验 且 完整商业化闭环经验,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Candidate has platform-style/configurable product experience and product ownership from requirements through delivery, but explicit enterprise SaaS/multi-tenant ownership is incomplete and there is no strong frozen evidence of full pricing/conversion/renewal/commercialisation-loop ownership. Meaningful overlap exists but the complete compound capability is not demonstrated."
F04,compound,synreq_fe17a08896da,具备 LLM 应用交付能力 且 模型精度调优能力,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"LLM application delivery is strongly evidenced through complete product delivery and LLM-related work. Model performance evaluation/training support exists, but does not prove fine-tuning, model-precision optimization, foundation-model training, RL training, or equivalent model-tuning ownership. One core subclaim is strong while the other remains materially unsupported."
F05,compound,synreq_fe1542987e0f,有数据开发经验 且 数据治理全流程经验,matchable,Partial,Partial,accepted,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Data development is directly supported by data architecture, automated ETL, SQL and data-modeling practice. End-to-end data-governance experience — metadata management, lineage, governance process and ownership — is not evidenced. Compound requirement only partially met."
D03,partial_missing_boundary,synreq_45f506185cde,独立承担过大型 AI Infra 系统的设计、开发与调测,matchable,Missing,Partial,edited,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Candidate has real system-design, LLM backend integration and AI technical delivery experience, which meaningfully overlaps with the requested capability. Insufficient evidence of independent ownership of a large-scale AI infrastructure platform covering design, development and debugging. Scale, infra specialization and ownership remain material gaps."
D06,partial_missing_boundary,synreq_8f5efb278bff,有大规模标注体系与训练数据闭环的专项经验,matchable,Missing,Partial,edited,human_confirmed (round-1 high-risk adjudication),human_reviewed,2026-09-02T03:19:28.316783+00:00,"Human evaluator confirms real manual data-annotation experience, in addition to training-data/model-evaluation exposure. Current frozen evidence does not demonstrate ownership of a large-scale annotation system, annotation-quality framework, specialist annotation platform, or end-to-end training-data closed loop. Meaningful direct overlap exists but is materially incomplete."
A01,technology_adjacency,synreq_c7935c589246,具备图文 / 视频 / 语音多模态大模型产品经验,matchable,Missing,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
A08,technology_adjacency,synreq_90a7361ccef9,有 RLHF / 强化学习 / 偏好对齐训练经验,matchable,Missing,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
A08,technology_adjacency,synreq_b82863bde319,有模型效果评估经验,matchable,Partial,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
B01,project_vs_formal_work,synreq_c3fc72219d0a,3 年以上正式 AI 产品经理工作经验,eligibility,PotentialGap,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
B03,project_vs_formal_work,synreq_7b76b9f8d2ec,有 AI 功能的完整动手交付经验（强调实操而非正式任职年限）,matchable,Strong,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
C03,strong_partial_boundary,synreq_7a9f7ab9d753,曾以数据产品经理身份独立负责完整数据产品,matchable,Partial,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
C06,strong_partial_boundary,synreq_f8454c6e8e53,具备 Prompt / 上下文工程的完整实践经验,matchable,Partial,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
E01,or_alternative,synreq_d781fb760d3d,有 金融 或 保险 或 支付 行业经验（满足其一即可）,matchable,Strong,,pending,selected_for_representative_human_review,scenario_derived_pending_representative_human_review,,
