model,job_id,matchable_requirement_count,latency_ms,input_tokens,output_tokens,reasoning_tokens,total_tokens,retry_count,schema_ok,norm_ok
qwen3.8-max,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,2,9819.4,3424,646,0,4070,0,True,True
qwen3.8-max,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,8533.8,3380,577,0,3957,0,True,True
qwen3.8-max,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,9426.1,3400,572,0,3972,0,True,True
qwen3.8-max,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,3,10486.9,3490,782,0,4272,0,True,True
qwen3.8-max,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,3258.1,3311,179,0,3490,0,True,True
qwen3.8-max,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,3,10884.6,3458,812,0,4270,0,True,True
qwen3.8-max,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,3454.7,3311,184,0,3495,0,True,True
qwen3.8-max,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,13921.3,3570,1022,0,4592,0,True,True
qwen3.8-max,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,3,11673.7,3468,864,0,4332,0,True,True
qwen3.8-max,tencent:2092538895714664448,2,10793.8,3416,753,0,4169,0,True,True
qwen3.8-max,tencent:2088450750270324736,5,16047.5,3700,1176,0,4876,0,True,True
qwen3.8-max,tencent:2077347119940939776,1,7186.0,3329,493,0,3822,0,True,True
qwen3.8-max,tencent:1978467627152072704,8,20351.5,4004,1540,0,5544,0,True,True
qwen3.8-max,tencent:2036621556322562048,3,11163.0,3498,751,0,4249,0,True,True
qwen3.8-max,tencent:2052527703940313088,6,18732.9,3714,1335,0,5049,0,True,True
qwen3.8-max,greenhouse:4186650005,3,10403.9,3521,700,0,4221,0,True,True
qwen3.8-max,tencent:2077246089718837248,2,8588.4,3438,587,0,4025,0,True,True
qwen3.8-max,tencent:2013806539382611968,3,11633.7,3505,768,0,4273,0,True,True
qwen3.8-max,tencent:2047239002926510080,9,21388.9,3877,1608,0,5485,0,True,True
qwen3.8-max,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,1,5031.0,3307,309,0,3616,0,True,True
qwen3.8-max,baidu:1270fb70-730e-4569-9385-b013690e607d,2,9114.0,3376,577,0,3953,0,True,True
qwen3.8-max,tencent:1994013057063473152,3,13500.3,3458,952,0,4410,0,True,True
qwen3.8-max,tencent:2078278970276753408,3,9968.1,3497,697,0,4194,0,True,True
qwen3.8-max,tencent:2041409199149314048,3,10303.2,3533,766,0,4299,0,True,True
qwen3.8-max,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,2,8576.7,3405,556,0,3961,0,True,True
qwen3.8-max,huawei:28183,8,18660.9,3866,1426,0,5292,0,True,True
qwen3.8-max,tencent:2064981110395420672,3,10411.1,3483,621,0,4104,0,True,True
qwen3.8-max,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,10062.7,3444,677,0,4121,0,True,True
qwen3.8-max,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,13197.8,3553,816,0,4369,0,True,True
qwen3.8-max,tencent:2083093175941115904,5,15774.2,3595,1000,0,4595,0,True,True
