requirement_id,job_id,job_title,candidate_index,requirement_text,requirement_type_draft,importance_draft,review_status
v2real_e491363d6dfd,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,1,参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证,matchable,Important,pending
v2real_02d1501dd10c,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,2,探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品,matchable,Important,pending
v2real_a59a5a8117b3,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,3,结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责,matchable,Important,pending
v2real_77cca9d2610c,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,4,主动发现问题、验证想法，将技术探索转化为实际产品成果，推动业务增长,matchable,Important,pending
v2real_2303a7656492,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,5,硕士及以上学历，计算机科学、人工智能、软件工程、信息技术等相关专业优先,eligibility,Preferred,pending
v2real_39fd5c922741,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,6,热爱AI技术，持续关注大模型、AI应用开发等方向，有较强探索能力,matchable,Important,pending
v2real_4a778aa82811,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,7,至少1段AI产品实习经验，有完整AI应用产品从需求到上线的参与经历,matchable,Important,pending
v2real_bec1ef8c6e81,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,8,具备扎实的AI原理基础，熟悉常见机器学习算法及模型训练方法，能和技术团队有效沟通,matchable,Important,pending
v2real_d76eea410734,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,9,具备主人翁意识，能够主动思考问题，并推动事情落地,matchable,Important,pending
v2real_7d15da9895fe,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,10,有完整AI产品作品或开源项目,matchable,Important,pending
v2real_ebfab2e7a24c,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,11,熟悉大模型应用开发流程，了解Prompt、Agent、RAG等技术,matchable,Important,pending
v2real_8a7e12bcf295,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,12,有保险、金融、医疗等垂直行业AI应用经验,matchable,Important,pending
v2real_ef521c1e3d88,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,13,配备产品思维，能够从用户需求出发设计AI解决方案,matchable,Important,pending
v2real_0fde4407a495,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,14,体系化的 AI 产品经理成长路径 -- 从需求调研、方案设计、原型输出到上线复盘，完整参与 AI产品全流程,matchable,Important,pending
v2real_5459500a1def,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,15,实战化的 AI 产品项目机会 -- 直接参与公司核心 AI 产品的设计与落地，独立负责模块化任务，积累可量化的业务成果,matchable,Critical,pending
v2real_57f75c839633,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,16,AI工具深度实战 -- 接触并实操主流大模型、Agen 平台、AI 工作流搭建等前沿 AI工具，赋能产品设计与效率提升,matchable,Important,pending
v2real_942f1a3c1bf5,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,17,一对一导师带教机制 -- 配备资深 Al 产品/产品专家 mentor，从方法论到业务实战全周期辅导,matchable,Important,pending
v2real_a9eff0976a4c,v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,18,跨部门协作视野 --与技术、运营、业务、算法等多团队紧密协同，建立完整的 A1驱动业务协作认知,matchable,Important,pending
v2real_a171ca977231,v2paste:8bd2292a5974ba67,AI策略产品经理,1,小荷健康拥有专业的医学和互联网产研团队，认真探索AI医疗,matchable,Important,pending
v2real_16e77009b4af,v2paste:8bd2292a5974ba67,AI策略产品经理,2,负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理,matchable,Important,pending
v2real_1419f35c93b1,v2paste:8bd2292a5974ba67,AI策略产品经理,3,与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地,matchable,Important,pending
v2real_8b9dc4fdc4e1,v2paste:8bd2292a5974ba67,AI策略产品经理,4,2027届本科及以上学历在读,eligibility,Critical,pending
v2real_01acb48c203e,v2paste:8bd2292a5974ba67,AI策略产品经理,5,有计算机相关知识，掌握编程能力，了解算法和大语言模型等方面的知识,matchable,Important,pending
v2real_b312d0137a22,v2paste:8bd2292a5974ba67,AI策略产品经理,6,有产品思维、有基本的用户理解、行业洞察、数据分析能力,matchable,Important,pending
v2real_91c6f4679f7a,v2paste:8bd2292a5974ba67,AI策略产品经理,7,对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地,matchable,Important,pending
v2real_c74de889405c,v2paste:8bd2292a5974ba67,AI策略产品经理,8,有很好的学习理解能力、逻辑思维能力，有自驱力/好奇心/求知欲等，结果导向，有成长潜力,matchable,Important,pending
v2real_1849f9889ee0,v2paste:8bd2292a5974ba67,AI策略产品经理,9,如果你有医疗景，对医疗和健康行业有理想与热情，会更加加分,subjective,Preferred,pending
v2real_76dde792d2cc,v2paste:ee7963fc9c8e9269,平台AI产品经理,1,参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革,matchable,Important,pending
v2real_17d83c4ded86,v2paste:ee7963fc9c8e9269,平台AI产品经理,2,输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付,matchable,Important,pending
v2real_1005fb6ce7af,v2paste:ee7963fc9c8e9269,平台AI产品经理,3,不断优化产品，探索标准化、模块化的交互场景方案，并进行定期更新和维护,matchable,Important,pending
v2real_2fb2b6ffce1b,v2paste:ee7963fc9c8e9269,平台AI产品经理,4,与业务、运营团队紧密配合，收集产品数据、用户反馈，建立产品评价体系，推进持续迭代,matchable,Important,pending
v2real_5dc7976cff80,v2paste:ee7963fc9c8e9269,平台AI产品经理,5,参与业务拓展，根据业务特点制定解决方案，为业务赋能提效,matchable,Important,pending
v2real_cf7b52fcb175,v2paste:ee7963fc9c8e9269,平台AI产品经理,6,本科及以上学历，计算机、数学等相关专业,eligibility,Critical,pending
v2real_86a3ccac2a8d,v2paste:ee7963fc9c8e9269,平台AI产品经理,7,具有一定计算机基础，了解基础组件、微服务治理优先,matchable,Preferred,pending
v2real_a82107a38ee9,v2paste:ee7963fc9c8e9269,平台AI产品经理,8,同理心强，善于沟通、协作、换位思考，能深度挖掘用户需求,matchable,Important,pending
v2real_554b36fdf094,v2paste:ee7963fc9c8e9269,平台AI产品经理,9,逻辑清晰，抽象化、结构化能力强，具备将复杂场景解构能力,matchable,Important,pending
v2real_ac98119d5b1b,v2paste:ee7963fc9c8e9269,平台AI产品经理,10,数据导向，能够将业务场景数字化，明确核心数据目标，指导产品迭代,matchable,Important,pending
v2real_5be2da0f9c4a,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,1,滴保是水滴公司旗下互联网保险平台，2017年5月上线，累计服务保险客户,matchable,Important,pending
v2real_7a10cd0eb700,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,2,23 亿、产品 2397 款、合作保司100 家,matchable,Important,pending
v2real_9995a3893256,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,3,"平台用自研""水滴水守大模型""驱动全流程经营提效，让每个普通人都能买得到、买得起、赔得快的保险",matchable,Important,pending
v2real_d8133fd03538,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,4,参与核心渠道用户运营，协助设计并优化用户从触达到转化的完整路径，包括用户触达策略、转化流程设计及运营策略优化，持续提升用户活跃度与转化效果,matchable,Important,pending
v2real_3597ec597679,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,5,结合用户行为数据与用户特征，对不同用户群体进行分层运营，通过消息触达、内容推送或活动运营等方式提升用户参与度和转化效率,matchable,Important,pending
v2real_9fc2a0731bf2,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,6,参与外部合作渠道的运营与管理，协助推进合作项目落地，跟踪合作效果并持续优化合作模式,matchable,Important,pending
v2real_82b93708742d,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,7,参与用户标签体系及用户触达体系建设，通过数据分析不断完善用户画像，提升运营策略的精准度,matchable,Important,pending
v2real_e009458c58e3,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,8,监测和分析用户运营相关数据指标(如用户活跃、转化率、留存率等)，通过数据复盘持续优化用户运营策略,matchable,Important,pending
v2real_b1eb6158ccd6,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,9,结合AI工具提升运营效率，例如利用AI进行用户数据分析、运营内容辅助生成或用户洞察整理，在实践中探索AI在用户运营场景中的应用,matchable,Important,pending
v2real_c4b68c44c9d4,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,10,本科及以上学历，专业不限，统计学、数学、商业分析、市场营销等相关专业优先,eligibility,Preferred,pending
v2real_6878f80bac86,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,11,具备良好的逻辑思维能力和数据分析意识，能够通过数据发现问题并提出优化思路,matchable,Important,pending
v2real_d3e15f85b9d2,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,12,对互联网用户运营、增长运营或数字化运营方向有兴趣，对用户行为及用户增长有基本理解,matchable,Important,pending
v2real_96743bbdf003,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,13,具备良好的沟通能力与团队协作意识，能够与产品、运营及技术团队协同推进项目,matchable,Important,pending
v2real_cec09c27f4e4,v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,14,自驱力强，责任心强，具备一定抗压能力，能够在快节奏环境中持续成长,matchable,Important,pending
