model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
qwen3.8-max,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,Partial,Missing,resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
qwen3.8-max,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,reqv2_ab313b520bea36f1,具有 AI 产品深度使用经验,Strong,Partial,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:28|resume_extracted:21|resume_extracted:23|resume_extracted:resume:1:ai_experience:0,True,候选人在GoFin项目中负责LLM集成与RAG，并在中国电子云实习中探索大模型应用及竞品分析，体现了AI产品相关经验。但现有证据更偏向产品开发与技术实现，缺乏作为用户对AI产品进行长期、多维度深度使用的直接证明。,misclassification
qwen3.8-max,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,Missing,Partial,,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,候选人有LLM集成、RAG及大模型应用探索的产品与实习经历，但未提供多模态、AIGC内容生成或社交娱乐类产品的直接证据，仅部分覆盖该复合要求。,misclassification
qwen3.8-max,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_49c9c07f1ba12d7b,对大模型数据质量与评估有判断力,Partial,Strong,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:22|resume_extracted:29|resume_extracted:resume:1:ai_experience:11|resume_extracted:21,True,候选人在AI大模型实习中执行数据清洗与特征工程，在个人NLP项目中完成模型训练评估与情感分析，并在简历中明确列出模型性能评估经验，表明其对大模型数据质量与评估具备实际判断力。,misclassification
qwen3.8-max,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,reqv2_d154fbace582cc6a,团队协作与沟通能力,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:resume:1:product_experience:5|resume_extracted:28|resume_extracted:20,True,简历明确列出跨职能团队协调（前端、后端、AI、数据库、测试）及GoFin项目中的跨职能交付职责，KPay实习中为多团队提供数据洞察，体现协作与沟通能力；但缺乏具体沟通机制、冲突解决或协作成果的量化描述，深度略显不足。,misclassification
qwen3.8-max,tencent:2092538895714664448,腾讯,reqv2_7c4b6a0fd084f77d,开发者工具、研发效能或平台型产品经验,Missing,Partial,,resume_extracted:28|resume_extracted:18|resume_extracted:resume:1:product_experience:5,True,GoFin项目涉及LLM集成与RAG等技术组件管理，KPay实习中搭建ETL与数据架构，体现出一定的工具/平台属性，但缺乏明确的开发者工具或研发效能产品经验。现有证据更偏向业务系统与数据基建，未直接证明面向开发者或研发效能场景的产品设计。,misclassification
qwen3.8-max,tencent:2088450750270324736,腾讯,reqv2_377262a20b779d20,具有完整 AI 产品落地经历,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:product_experience:9|resume_extracted:resume:1:ai_experience:0,True,GoFin项目中负责LLM集成与RAG对话式目标创建，且有AI大模型实习经历，体现AI产品实践；但证据未显示完整商业化落地闭环，更多为项目级交付。,misclassification
qwen3.8-max,tencent:2077347119940939776,腾讯,reqv2_9149c4b1d212048c,AI Agent、大模型应用或智能助手类产品经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:product_experience:5,True,GoFin 项目中明确承担 LLM 集成、RAG 及对话式目标创建等产品职责，中国电子云实习也涉及大模型应用方向探索，直接支撑大模型应用产品经验。但证据主要为实习与项目经历，未体现3年以上正式产品经理岗位履历，匹配深度受限。,misclassification
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,GoFin项目涉及LLM集成与对话式目标创建，中国电子云实习涉及大模型应用场景分析，具备C端AI产品化基础。但未明确提及Agent或多模态/ASR的具体落地细节，且项目多为实习或个人性质，深度稍欠。,misclassification
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:18,True,作为GoFin Product Owner负责从需求到交付的全流程，并在KPay独立设计增长策略框架与数据架构，体现了出色的系统性思考、问题拆解及从0到1的构建能力。,misclassification
