job_id,company,title,matchable_requirement_count,human_match_fit,gt_match_score,baseline_match_score_production,baseline_match_score_frozen_importance,abs_err_gt_vs_baseline,score_status
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,2,3,50,38,38,12,available
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,2,5,100,100,100,0,available
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,2,3,50,75,75,25,available
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,3,3,80,90,90,10,available
baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,1,4,100,100,100,0,available
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,3,4,90,80,80,10,available
baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,百度,北京-AI产品经理(J100665),1,5,100,100,100,0,available
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,4,4,75,75,75,0,available
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,3,4,71,71,71,0,available
tencent:2092538895714664448,腾讯,AI产品经理,2,3,75,38,38,37,available
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,5,4,77,64,64,13,available
tencent:2077347119940939776,腾讯,QQ-Agent产品经理,1,5,100,50,50,50,available
tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,8,4,73,70,70,3,available
tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,3,3,50,33,33,17,available
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,6,4,75,50,50,25,available
greenhouse:4186650005,SES AI,Data Product Manager,3,2,10,20,20,10,available
tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,2,4,88,88,88,0,available
tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,3,4,83,67,67,16,available
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,9,4,82,,,,unavailable
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,1,4,100,100,100,0,available
baidu:1270fb70-730e-4569-9385-b013690e607d,百度,北京-用户产品经理(J100806),2,5,100,100,100,0,available
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,3,4,100,83,83,17,available
tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,3,2,43,64,64,21,available
tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,3,4,70,60,60,10,available
xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,2,3,75,100,100,25,available
huawei:28183,华为,AI大模型架构师（训练/推理）,8,2,42,58,58,16,available
tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,3,2,40,60,60,20,available
baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),3,5,100,93,93,7,available
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,4,2,0,19,19,19,available
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,5,4,77,50,50,27,available
