kind,job_id,requirement_id,field,from,to,note
full_review_edit,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,reqv2_63b051ca5b06efc5,human_match_label,Partial,Strong,AI Partial → Human Strong；同句“文字品味”拆为非评分 subjective expectation。
subjective_added,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,reqv2_63b051ca5b06efc5,subjective_expectations[+],,文字品味,EDIT F1：从复合要求拆出“文字品味”为非评分 subjective expectation。
keep_after_review_with_note,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,reqv2_5cfb41f2e516a713,human_notes,Partial,Partial,K1：“优先”非资格门槛，故非 eligibility；有相关产品实践但职业时长/角色深度不足，Partial。
gofin_ai_platform_manual_confirmation,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_7e3a449a4232300b,human_notes,Partial,Partial,候选人人工确认 GoFin 亦为 AI 平台；因此该 AI 平台 / B 端方向要求不判 Missing，保持 Partial —— GoFin 支持 AI 平台方向，但为项目制而非长期正式平台 PM 工作。此人工事实仅属人工裁定，未新增证据 ID。
full_review_edit,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_f7ca00a2f542fb78,human_match_label,Strong,Partial,AI Strong → Human Partial（compound 覆盖不完整）。
full_review_edit,tencent:2077347119940939776,reqv2_9149c4b1d212048c,human_match_label,Partial,Strong,AI Partial → Human Strong（OR-list：满足其一即可）。
gofin_c_end_manual_confirmation,tencent:1978467627152072704,reqv2_379e8bc24f903143,human_notes,Strong,Strong,§8：候选人人工确认 GoFin 为 C 端 / consumer-facing AI 产品；冻结证据同时明确支持 LLM / Agent 产品化落地，因此该 requirement 的 Human Ground Truth 为 Strong。此人工事实仅属人工裁定。
keep_after_review_with_note,tencent:1978467627152072704,reqv2_8fde0b9d53173e67,human_notes,Partial,Partial,K3：“审美和感受力”属非评分主观上下文；可衡量的任务目标/效果标准能力保持 matchable/Partial。
gofin_ai_platform_manual_confirmation,tencent:2077246089718837248,reqv2_f2105cecb6db9371,human_notes,Partial,Partial,候选人人工确认 GoFin 亦为 AI 平台；因此该 AI 平台 / B 端方向要求不判 Missing，保持 Partial —— GoFin 支持 AI 平台方向，但为项目制而非长期正式平台 PM 工作。此人工事实仅属人工裁定，未新增证据 ID。
join_key_correction,tencent:2013806539382611968,reqv2_d65a91721a2406a6,requirement_id,reqv2_1a525cde503f66d0,reqv2_d65a91721a2406a6,"Removed duplicate_ordinal=1 workaround. Restored the exact RequirementCatalogBuilder.stable_requirement_id output (ordinal 0). Now shares requirement_id with tencent:1994013057063473152 '三年以上工作经验'; the two rows remain distinct by job_id. Canonical evaluation key = (job_id, requirement_id)."
