job_id,company,job_title,role_family,job_matchable_count,requirement_id,requirement_text,requirement_type,current_draft_importance,current_human_match_label,jd_source_section,jd_source_text,jd_surrounding_context,wording_signal_flags,wording_years_seniority,why_requirement_appears,job_side_centrality_observations_only,current_gt_match_score,score_if_critical,score_if_important,score_if_preferred,max_abs_delta,important_preferred_delta,importance_provenance,human_importance,importance_review_status,importance_uncertain,human_importance_notes
tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,mismatched_control,3,reqv2_db1d8efa4071bf5f,流式语音识别模型研发经验（模型训练 / 流式解码 / 延迟优化）,matchable,Important,Missing,requirements,2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化；,"RESP: 1.负责语音识别模型的研发与优化，重点建设低延迟、高准确率的流式语音识别能力，支持实时对话、按住说话、语音助手等场景；
2.负责流式 ASR 模型架构、训练和解码策略优化，包括 Streaming Conformer、CTC、Transducer、Attention 等技术方向； || REQ: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；
2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化； || PREF: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；",,,listed under the JD 'requirements' section as a stated capability for a mismatched_control role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,40,29,40,67,27,27,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2092538895714664448,腾讯,AI产品经理,ai_product,2,reqv2_7c4b6a0fd084f77d,开发者工具、研发效能或平台型产品经验,matchable,Preferred,Missing,preferred,1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；,"RESP: 1.负责企业 AI Agent 平台产品规划与建设，推动核心产品能力设计、研发协同及版本迭代；
2.负责 IMate 相关产品方向，包括基础能力建设、研发工作流集成、开放平台能力建设等； || REQ: 1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；
2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代； || PREF: 1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a ai_product role at 腾讯.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 2 matchable requirements in this job,75,38,50,75,37,25,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,ai_product,2,reqv2_0431fe88ab60c3c3,计算机或人工智能相关专业,matchable,Preferred,Strong,preferred,本科及以上学历，计算机、人工智能等相关专业优先,"RESP: 负责AI对话型产品的相关需求分析、用户调研、功能设计、规划与落地执行
与研发、测试、设计、运营等部门紧密协作，确保项目按计划高效推进和交付 || REQ: 本科及以上学历，计算机、人工智能等相关专业优先
具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先 || PREF: 本科及以上学历，计算机、人工智能等相关专业优先",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a ai_product role at 百度.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 2 matchable requirements in this job,50,83,75,50,33,25,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,ai_product,2,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,matchable,Preferred,Missing,preferred,具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先,"RESP: 负责AI对话型产品的相关需求分析、用户调研、功能设计、规划与落地执行
与研发、测试、设计、运营等部门紧密协作，确保项目按计划高效推进和交付 || REQ: 本科及以上学历，计算机、人工智能等相关专业优先
具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先 || PREF: 本科及以上学历，计算机、人工智能等相关专业优先",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a ai_product role at 百度.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 2 matchable requirements in this job,50,17,25,50,33,25,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2092538895714664448,腾讯,AI产品经理,ai_product,2,reqv2_7c8882c717660066,独立完成需求分析、产品设计、项目推进与数据迭代,matchable,Important,Strong,requirements,2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代；,"RESP: 1.负责企业 AI Agent 平台产品规划与建设，推动核心产品能力设计、研发协同及版本迭代；
2.负责 IMate 相关产品方向，包括基础能力建设、研发工作流集成、开放平台能力建设等； || REQ: 1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；
2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代； || PREF: 1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；",独立,,listed under the JD 'requirements' section as a stated capability for a ai_product role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 2 matchable requirements in this job,75,83,75,50,25,25,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,ai_product,3,reqv2_8e1b2b33ed5b36a1,语音交互大模型方向工作或科研经历,matchable,Preferred,Missing,preferred,国内重点院校本科/研究生毕业，有语音交互大模型等相关方向工作经验或科研项目经历优先,"RESP: 负责端到端语音交互大模型的产品策略输出以及效果跟进
高质量评估，并对评估结果进行深入分析洞察，指导模型及系统策略优化 || REQ: 有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力
对大模型、深度学习、机器学习有较深的认知，对技术敏感 || PREF: 有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a ai_product role at 百度.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,80,44,57,80,36,23,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,general_product,3,reqv2_bee05a7871209904,沟通协调与跨团队沟通能力,matchable,Important,Strong,requirements,2.有良好的沟通协调能力，能胜任跨团队沟通；,"RESP: 1.负责腾讯云合同管理系统的产品策划，涉及合同全生命周期管理，包括合同的起草、审批、签订、履行、变更和终止；
2.研究客户行为与需求场景，深入理解客户需求，研究竞品、制定产品目标； || REQ: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；
2.有良好的沟通协调能力，能胜任跨团队沟通； || PREF: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；",,3年,listed under the JD 'requirements' section as a stated capability for a general_product role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,43,56,43,20,23,23,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,mismatched_control,3,reqv2_ddd61beb368e5153,计算机 / 人工智能 / 语音信号处理相关专业,matchable,Preferred,Strong,preferred,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,"RESP: 1.负责语音识别模型的研发与优化，重点建设低延迟、高准确率的流式语音识别能力，支持实时对话、按住说话、语音助手等场景；
2.负责流式 ASR 模型架构、训练和解码策略优化，包括 Streaming Conformer、CTC、Transducer、Attention 等技术方向； || REQ: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；
2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化； || PREF: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a mismatched_control role at 腾讯.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,40,67,57,40,27,17,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,mismatched_control,3,reqv2_ffe72039c28ab86a,硕士及以上学历,matchable,Preferred,Strong,preferred,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,"RESP: 1.负责语音识别模型的研发与优化，重点建设低延迟、高准确率的流式语音识别能力，支持实时对话、按住说话、语音助手等场景；
2.负责流式 ASR 模型架构、训练和解码策略优化，包括 Streaming Conformer、CTC、Transducer、Attention 等技术方向； || REQ: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；
2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化； || PREF: 1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；",优先,,listed under the JD 'preferred' section as a preferred/bonus capability for a mismatched_control role at 腾讯.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,40,67,57,40,27,17,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,general_product,3,reqv2_f982055a8756f25d,熟悉企业经营管理流程,matchable,Important,Missing,requirements,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,"RESP: 1.负责腾讯云合同管理系统的产品策划，涉及合同全生命周期管理，包括合同的起草、审批、签订、履行、变更和终止；
2.研究客户行为与需求场景，深入理解客户需求，研究竞品、制定产品目标； || REQ: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；
2.有良好的沟通协调能力，能胜任跨团队沟通； || PREF: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；",优先,3年,listed under the JD 'requirements' section as a preferred/bonus capability for a general_product role at 腾讯.,appears in JD section: requirements ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,43,33,43,60,17,17,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
