model,job_id,matchable_requirement_count,latency_ms,input_tokens,output_tokens,reasoning_tokens,total_tokens,retry_count,schema_ok,norm_ok
kimi-k3,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,2,25338.1,3090,513,75,3603,0,True,True
kimi-k3,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,22428.2,3046,677,159,3723,0,True,True
kimi-k3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,22997.4,3071,781,156,3852,0,True,True
kimi-k3,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,3,28212.6,3157,798,158,3955,0,True,True
kimi-k3,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,8628.6,2979,263,38,3242,0,True,True
kimi-k3,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,3,25715.3,3121,658,94,3779,0,True,True
kimi-k3,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,10445.8,2980,265,23,3245,0,True,True
kimi-k3,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,31358.5,3225,1115,252,4340,0,True,True
kimi-k3,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,3,38879.5,3131,1078,288,4209,0,True,True
kimi-k3,tencent:2092538895714664448,2,23675.2,3082,667,188,3749,0,True,True
kimi-k3,tencent:2088450750270324736,5,43735.6,3345,1307,338,4652,0,True,True
kimi-k3,tencent:2077347119940939776,1,18613.8,3000,503,105,3503,0,True,True
kimi-k3,tencent:1978467627152072704,8,54369.2,3639,1814,432,5453,0,True,True
kimi-k3,tencent:2036621556322562048,3,27884.6,3160,739,175,3899,0,True,True
kimi-k3,tencent:2052527703940313088,6,47779.1,3368,1573,305,4941,0,True,True
kimi-k3,greenhouse:4186650005,3,28081.8,3185,731,170,3916,0,True,True
kimi-k3,tencent:2077246089718837248,2,26173.2,3107,793,232,3900,0,True,True
kimi-k3,tencent:2013806539382611968,3,29312.5,3170,810,112,3980,0,True,True
kimi-k3,tencent:2047239002926510080,9,49618.6,3512,2013,498,5525,0,True,True
kimi-k3,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,1,12646.7,2977,327,33,3304,0,True,True
kimi-k3,baidu:1270fb70-730e-4569-9385-b013690e607d,2,13426.5,3042,446,80,3488,0,True,True
kimi-k3,tencent:1994013057063473152,3,24708.1,3119,741,8,3860,0,True,True
kimi-k3,tencent:2078278970276753408,3,27662.1,3156,807,142,3963,0,True,True
kimi-k3,tencent:2041409199149314048,3,35056.4,3200,930,190,4130,0,True,True
kimi-k3,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,2,27917.1,3072,538,122,3610,0,True,True
kimi-k3,huawei:28183,8,46969.7,3507,1476,251,4983,0,True,True
kimi-k3,tencent:2064981110395420672,3,21683.0,3147,588,95,3735,0,True,True
kimi-k3,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,23450.0,3114,670,93,3784,0,True,True
kimi-k3,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,28322.4,3210,854,75,4064,0,True,True
kimi-k3,tencent:2083093175941115904,5,51983.7,3251,1646,743,4897,0,True,True
