job_id,job_title,role_family,career_stage,requirement_id,requirement_text,draft_taxonomy,draft_importance,human_taxonomy_decision,human_match_label,human_match_notes,importance_status,human_review_status,adjudicated_at
v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_e491363d6dfd,参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证,matchable,Important,,Partial,Direct end-to-end LLM/RAG product delivery (requirements→implementation→launch→iteration); no verified insurance-scenario AI product delivery. Meaningful overlap; vertical-specific capability incomplete.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_02d1501dd10c,探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品,matchable,Important,,Partial,Direct LLM and RAG product/application experience and delivered conversational AI functionality; lacks verified insurance-domain AI application experience and explicit Agent-system ownership.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_a59a5a8117b3,结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责,matchable,Important,,Partial,"User-feedback analysis, KPI monitoring, conversion optimization and iterative delivery experience; ownership of AI-product-specific satisfaction/usage/conversion metrics not fully evidenced.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:868864e12ac26973,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_8a7e12bcf295,有保险、金融、医疗等垂直行业AI应用经验,matchable,Important,,Partial,Strong finance/FinTech domain exposure and AI-enabled financial product experience; no direct insurance or healthcare AI product experience.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:8bd2292a5974ba67,AI策略产品经理,ai_product,campus_new_grad,v2real_16e77009b4af,负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理,matchable,Important,,Strong,"Direct Product Owner experience covering requirement analysis, planning, backlog and user-story management with meaningful independent ownership.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:8bd2292a5974ba67,AI策略产品经理,ai_product,campus_new_grad,v2real_1419f35c93b1,与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地,matchable,Important,,Strong,Direct cross-functional coordination with frontend/backend/AI/database/testing teams; has driven AI/LLM features through delivery.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:8bd2292a5974ba67,AI策略产品经理,ai_product,campus_new_grad,v2real_91c6f4679f7a,对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地,matchable,Important,,Strong,Direct AI application/product delivery experience including LLM/RAG product workflows and implementation through launch.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:8bd2292a5974ba67,AI策略产品经理,ai_product,campus_new_grad,v2real_b312d0137a22,有产品思维、有基本的用户理解、行业洞察、数据分析能力,matchable,Important,,Strong,"Direct evidence across user-scenario analysis, product work, competitor analysis and data analysis; combined capability sufficiently covered.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:ee7963fc9c8e9269,平台AI产品经理,platform_enterprise_product,unknown,v2real_76dde792d2cc,参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革,matchable,Important,,Partial,"Data architecture, finance-domain and AI/data-platform-adjacent experience; lacks verified ownership of internal-collaboration, R&D-efficiency, HR or cloud-infrastructure platform products.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:ee7963fc9c8e9269,平台AI产品经理,platform_enterprise_product,unknown,v2real_17d83c4ded86,输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付,matchable,Important,,Strong,"Direct product documentation, backlog/user-story work, cross-functional coordination and iterative delivery experience.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:ee7963fc9c8e9269,平台AI产品经理,platform_enterprise_product,unknown,v2real_2fb2b6ffce1b,与业务、运营团队紧密配合，收集产品数据、用户反馈，建立产品评价体系，推进持续迭代,matchable,Important,,Strong,"KPI monitoring, feedback analysis, evaluation-oriented data work and iterative product delivery — direct evidence for feedback/data-driven iteration.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:ee7963fc9c8e9269,平台AI产品经理,platform_enterprise_product,unknown,v2real_ac98119d5b1b,数据导向，能够将业务场景数字化，明确核心数据目标，指导产品迭代,matchable,Important,,Strong,"Strong direct evidence in data architecture, KPI design, attribution logic, business analysis, SQL/Python and data-driven decision support.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,strategy_growth_fintech_product,unknown,v2real_d8133fd03538,参与核心渠道用户运营，协助设计并优化用户从触达到转化的完整路径，包括用户触达策略、转化流程设计及运营策略优化，持续提升用户活跃度与转化效果,matchable,Important,,Strong,"Direct growth-channel strategy, conversion-path optimization and growth-operations experience covering a meaningful portion of the touch-to-conversion workflow.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,strategy_growth_fintech_product,unknown,v2real_3597ec597679,结合用户行为数据与用户特征，对不同用户群体进行分层运营，通过消息触达、内容推送或活动运营等方式提升用户参与度和转化效率,matchable,Important,,Partial,Segmentation and conversion-analysis experience; specific message-push/content-push/activity-operation channel execution only partially evidenced.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,strategy_growth_fintech_product,unknown,v2real_82b93708742d,参与用户标签体系及用户触达体系建设，通过数据分析不断完善用户画像，提升运营策略的精准度,matchable,Important,,Partial,"Data architecture, segmentation and analysis experience; no direct ownership of a dedicated user-tagging and user-reach system.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:703edc23c7fecb6d,增长产品经理（平台经营）,strategy_growth_fintech_product,unknown,v2real_e009458c58e3,监测和分析用户运营相关数据指标(如用户活跃、转化率、留存率等)，通过数据复盘持续优化用户运营策略,matchable,Important,,Strong,"Direct KPI monitoring, conversion optimization and data-review experience meaningfully covering the operations-metric analysis and optimization loop.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2510a8a8dd701350,AI产品经理,platform_enterprise_product,experienced,v2real_4a2e6653ee5c,AI产品规划与设计:负责招聘场景下AI产品全生命周期管理，包括智能匹配算法、人岗推荐系统、AI面试助手智能客服等方向的创新设计,matchable,Important,,Partial,"Direct full-lifecycle LLM product delivery and conversational AI experience; lacks recruitment-domain, recommendation-system and AI interview-assistant product ownership.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2510a8a8dd701350,AI产品经理,platform_enterprise_product,experienced,v2real_98ff50f7094e,产品落地与协作:与算法、工程团队紧密合作，推动AI产品在合适场景应用，确保技术方案与业务目标对齐,matchable,Important,,Strong,Direct cross-functional AI delivery experience; has worked with engineering/AI teams to align product requirements and technical implementation.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2510a8a8dd701350,AI产品经理,platform_enterprise_product,experienced,v2real_fc7b2fb760bf,主导需求文档(PRD)撰写，明确体验指标(如模型准确率、响应延迟、用户体验指标),matchable,Critical,,Partial,Product specification/backlog experience and model-performance evaluation exposure; lacks direct ownership of defining AI-product accuracy/latency/UX metrics in product specifications.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2510a8a8dd701350,AI产品经理,platform_enterprise_product,experienced,v2real_5e191918da68,数据驱动优化:通过A/B测试、用户反馈和埋点数据分析，持续迭代AI产品功能，提升B端和C端的满意度，并制定优化策略,matchable,Important,,Partial,"Data analysis, conversion optimization, feedback iteration and attribution/event-logic experience. Controlled experiments exist in JobPilot evaluation work, but no verified real-user randomized online A/B testing or production event-tracking analytics. (Not rewritten as production online A/B.)",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2bb44a57a387a772,用户增长-用户运营管培生,mismatched_control,unknown,v2real_54403299a5ab,用户增长与私域生态搭建:策划用户增长模型，搭建用户分层体系RFM/AIPL模型应用),matchable,Important,,Partial,"Growth strategy, segmentation and growth-framework experience; lacks direct private-domain ecosystem and explicit RFM/AIPL implementation experience.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
