job_id,company,job_title,role_family,career_stage,requirement_id,requirement_text,jd_source_text,jd_surrounding_context,draft_taxonomy,draft_importance,taxonomy_flag_for_human,frozen_candidate_evidence_relevant,current_draft_match_label,neutral_requested_capability,neutral_directly_evidenced,neutral_partially_evidenced,neutral_absent,human_match_label,human_match_notes,human_importance,importance_uncertain,human_review_status
v2paste:868864e12ac26973,,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_e491363d6dfd,参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证,参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证,"**校招-AI产品经理（人才专项**
岗位职责
参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证;
2.探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品;
3.结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责;4.主动发现问题、验证想法，将技术探索转化为实际产品成果，推动业务增长。
职位要求:
1.硕士及以上学历，计算机科学、人工智能、软件工程、信息技术等相关专业优先;名校优先;2.热爱AI技术，持续关注大模型、AI应用开发等方向，有较强探索能力;3.至少1段AI产品实习经验，有完整AI应用产品从需求到上线的参与经历;4.具备扎实的AI原理基础，熟悉常见机器学习算法及模型训练方法，能和技术团队有效沟通;5.具备主人翁意识，能够主动思考问题，并推动事情落地。加分项
1.有完整AI产品作品或开源项目;
2.熟悉大模型应用开发流程，了解Prompt、Agent、RAG等技术;3.有保险、金融、医疗等垂直行业AI应用经验;
配备产品思维，能够从用户需求出发设计AI解决方案，
你将获得:
1.体系化的 AI 产品经理成长路径 -- 从需求调研、方案设计、原型输出到上线复盘，完整参与 AI产品全流程;2.实战化的 AI 产品项目机会 -- 直接参与公司核心 AI 产品的设计与落地，独立负责模块化任务，积累可量化的业务成果;
3.AI工具深度实战 -- 接触并实操主流大模型、Agen 平台、AI 工作流搭建等前沿 ",matchable,Important,,"GoFin Product Owner covered 需求/流程/Backlog/User Stories/跨职能交付/迭代 with LLM/RAG/对话式 delivery (ev 28, product_experience:9); AI大模型实习 product-requirement discussion & application-direction exploration (ev 21) | partial: end-to-end ownership is via a single project (GoFin), not repeated; iteration/优化 evidence exists but not tied to an AI product line | absent: insurance-scenario AI product delivery",,own an AI product end-to-end (需求→方案→开发→上线迭代) and land AI capability in insurance business scenarios,"GoFin Product Owner covered 需求/流程/Backlog/User Stories/跨职能交付/迭代 with LLM/RAG/对话式 delivery (ev 28, product_experience:9); AI大模型实习 product-requirement discussion & application-direction exploration (ev 21)","end-to-end ownership is via a single project (GoFin), not repeated; iteration/优化 evidence exists but not tied to an AI product line",insurance-scenario AI product delivery,,,,,pending
v2paste:868864e12ac26973,,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_02d1501dd10c,探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品,探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品,"**校招-AI产品经理（人才专项**
岗位职责
参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证;
2.探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品;
3.结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责;4.主动发现问题、验证想法，将技术探索转化为实际产品成果，推动业务增长。
职位要求:
1.硕士及以上学历，计算机科学、人工智能、软件工程、信息技术等相关专业优先;名校优先;2.热爱AI技术，持续关注大模型、AI应用开发等方向，有较强探索能力;3.至少1段AI产品实习经验，有完整AI应用产品从需求到上线的参与经历;4.具备扎实的AI原理基础，熟悉常见机器学习算法及模型训练方法，能和技术团队有效沟通;5.具备主人翁意识，能够主动思考问题，并推动事情落地。加分项
1.有完整AI产品作品或开源项目;
2.熟悉大模型应用开发流程，了解Prompt、Agent、RAG等技术;3.有保险、金融、医疗等垂直行业AI应用经验;
配备产品思维，能够从用户需求出发设计AI解决方案，
你将获得:
1.体系化的 AI 产品经理成长路径 -- 从需求调研、方案设计、原型输出到上线复盘，完整参与 AI产品全流程;2.实战化的 AI 产品项目机会 -- 直接参与公司核心 AI 产品的设计与落地，独立负责模块化任务，积累可量化的业务成果;
3.AI工具深度实战 -- 接触并实操主流大模型、Agen 平台、AI 工作流搭建等前沿 ",matchable,Important,,"LLM application development (ev ai_experience:0), RAG 文件分析 (ev ai_experience:4), 对话式 + RAG delivered in GoFin (ev 28) | partial: Agent — GoFin is conversational/LLM; no explicit Agent build | absent: insurance scenarios (核保 / 保险咨询 / 保险教育)",,apply 大模型 / Agent / RAG to real insurance scenarios (智能咨询 / 核保辅助 / 保险教育),"LLM application development (ev ai_experience:0), RAG 文件分析 (ev ai_experience:4), 对话式 + RAG delivered in GoFin (ev 28)",Agent — GoFin is conversational/LLM; no explicit Agent build,insurance scenarios (核保 / 保险咨询 / 保险教育),,,,,pending
v2paste:868864e12ac26973,,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_a59a5a8117b3,结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责,结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责,"**校招-AI产品经理（人才专项**
岗位职责
参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证;
2.探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品;
3.结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责;4.主动发现问题、验证想法，将技术探索转化为实际产品成果，推动业务增长。
职位要求:
1.硕士及以上学历，计算机科学、人工智能、软件工程、信息技术等相关专业优先;名校优先;2.热爱AI技术，持续关注大模型、AI应用开发等方向，有较强探索能力;3.至少1段AI产品实习经验，有完整AI应用产品从需求到上线的参与经历;4.具备扎实的AI原理基础，熟悉常见机器学习算法及模型训练方法，能和技术团队有效沟通;5.具备主人翁意识，能够主动思考问题，并推动事情落地。加分项
1.有完整AI产品作品或开源项目;
2.熟悉大模型应用开发流程，了解Prompt、Agent、RAG等技术;3.有保险、金融、医疗等垂直行业AI应用经验;
配备产品思维，能够从用户需求出发设计AI解决方案，
你将获得:
1.体系化的 AI 产品经理成长路径 -- 从需求调研、方案设计、原型输出到上线复盘，完整参与 AI产品全流程;2.实战化的 AI 产品项目机会 -- 直接参与公司核心 AI 产品的设计与落地，独立负责模块化任务，积累可量化的业务成果;
3.AI工具深度实战 -- 接触并实操主流大模型、Agen 平台、AI 工作流搭建等前沿 ",matchable,Important,,"KPay conversion-path optimization + KPI monitoring + 绩效分析体系 (ev 19); 客户反馈分析 (ev 27, product_experience:7); GoFin 迭代交付 (ev 28, product_experience:9) | partial: metric ownership shown in growth/analytics context; not tied to AI-product satisfaction/usage metrics specifically",,data/feedback-driven AI-effect optimization with ownership of core metrics (满意度 / 转化率 / 使用率),"KPay conversion-path optimization + KPI monitoring + 绩效分析体系 (ev 19); 客户反馈分析 (ev 27, product_experience:7); GoFin 迭代交付 (ev 28, product_experience:9)",metric ownership shown in growth/analytics context; not tied to AI-product satisfaction/usage metrics specifically,none material,,,,,pending
v2paste:868864e12ac26973,,校招-AI产品经理（人才专项）,ai_product,campus_new_grad,v2real_8a7e12bcf295,有保险、金融、医疗等垂直行业AI应用经验,有保险、金融、医疗等垂直行业AI应用经验,"**校招-AI产品经理（人才专项**
岗位职责
参与AI产品从需求探索、方案设计、技术开发到上线迭代的完整流程，推动AI能力在保险场景中落地，而非停留在概念验证;
2.探索大模型、Agent、RAG等AI技术在智能咨询、核保辅助、保险教育等真实业务场景中的应用，打造用户真正需要的智能化产品;
3.结合用户反馈和业务数据，持续优化AI应用效果，对核心指标(用户满意度、转化率、使用率)负责;4.主动发现问题、验证想法，将技术探索转化为实际产品成果，推动业务增长。
职位要求:
1.硕士及以上学历，计算机科学、人工智能、软件工程、信息技术等相关专业优先;名校优先;2.热爱AI技术，持续关注大模型、AI应用开发等方向，有较强探索能力;3.至少1段AI产品实习经验，有完整AI应用产品从需求到上线的参与经历;4.具备扎实的AI原理基础，熟悉常见机器学习算法及模型训练方法，能和技术团队有效沟通;5.具备主人翁意识，能够主动思考问题，并推动事情落地。加分项
1.有完整AI产品作品或开源项目;
2.熟悉大模型应用开发流程，了解Prompt、Agent、RAG等技术;3.有保险、金融、医疗等垂直行业AI应用经验;
配备产品思维，能够从用户需求出发设计AI解决方案，
你将获得:
1.体系化的 AI 产品经理成长路径 -- 从需求调研、方案设计、原型输出到上线复盘，完整参与 AI产品全流程;2.实战化的 AI 产品项目机会 -- 直接参与公司核心 AI 产品的设计与落地，独立负责模块化任务，积累可量化的业务成果;
3.AI工具深度实战 -- 接触并实操主流大模型、Agen 平台、AI 工作流搭建等前沿 ",matchable,Important,,"finance/fintech domain: 中国光大银行 internship (ev 24, 26), fintech masters (ev education:0), domain_experience:0 | partial: AI-within-finance shown via GoFin (LLM-powered financial-goal platform) — adjacent, not a named vertical AI product | absent: insurance vertical; healthcare vertical AI",,AI application experience in a vertical industry — 保险 / 金融 / 医疗,"finance/fintech domain: 中国光大银行 internship (ev 24, 26), fintech masters (ev education:0), domain_experience:0","AI-within-finance shown via GoFin (LLM-powered financial-goal platform) — adjacent, not a named vertical AI product",insurance vertical; healthcare vertical AI,,,,,pending
v2paste:8bd2292a5974ba67,字节跳动 (ByteDance),AI策略产品经理,ai_product,campus_new_grad,v2real_16e77009b4af,负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理,负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理,"**AI策略产品经理**
职位描述团队介绍:小荷健康是字节跳动旗下的医疗健康品牌，我们致力于利用大模型技术，探索医疗健康服务的新范式孵化了“小荷AI医生”app，为用户提供专业的健康咨询服务。小荷健康拥有专业的医学和互联网产研团队，认真探索AI医疗。
负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理;1、2、与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地。职位要求
1、2027届本科及以上学历在读;
2、有计算机相关知识，掌握编程能力，了解算法和大语言模型等方面的知识;
3、有产品思维、有基本的用户理解、行业洞察、数据分析能力;
4、对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地;5、有很好的学习理解能力、逻辑思维能力，有自驱力/好奇心/求知欲等，结果导向，有成长潜力;6、如果你有医疗景，对医疗和健康行业有理想与热情，会更加加分。",matchable,Important,,GoFin Product Owner — 需求 / Backlog / User Stories (ev 28); AI大模型实习 requirement discussion (ev 21) | partial: 'independent' ownership demonstrated at Product-Owner level on one project,,"independently follow a sub-project's requirement analysis, planning and requirement grooming",GoFin Product Owner — 需求 / Backlog / User Stories (ev 28); AI大模型实习 requirement discussion (ev 21),'independent' ownership demonstrated at Product-Owner level on one project,none material,,,,,pending
v2paste:8bd2292a5974ba67,字节跳动 (ByteDance),AI策略产品经理,ai_product,campus_new_grad,v2real_1419f35c93b1,与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地,与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地,"**AI策略产品经理**
职位描述团队介绍:小荷健康是字节跳动旗下的医疗健康品牌，我们致力于利用大模型技术，探索医疗健康服务的新范式孵化了“小荷AI医生”app，为用户提供专业的健康咨询服务。小荷健康拥有专业的医学和互联网产研团队，认真探索AI医疗。
负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理;1、2、与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地。职位要求
1、2027届本科及以上学历在读;
2、有计算机相关知识，掌握编程能力，了解算法和大语言模型等方面的知识;
3、有产品思维、有基本的用户理解、行业洞察、数据分析能力;
4、对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地;5、有很好的学习理解能力、逻辑思维能力，有自驱力/好奇心/求知欲等，结果导向，有成长潜力;6、如果你有医疗景，对医疗和健康行业有理想与热情，会更加加分。",matchable,Important,,跨职能团队协调 (前端/后端/AI/数据库/测试) (ev product_experience:5); GoFin cross-functional delivery + LLM integration (ev 28) | partial: 'innovative solutions' not separately quantified,,"collaborate closely with the tech team, propose innovative solutions and drive them to landing",跨职能团队协调 (前端/后端/AI/数据库/测试) (ev product_experience:5); GoFin cross-functional delivery + LLM integration (ev 28),'innovative solutions' not separately quantified,none material,,,,,pending
v2paste:8bd2292a5974ba67,字节跳动 (ByteDance),AI策略产品经理,ai_product,campus_new_grad,v2real_91c6f4679f7a,对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地,对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地,"**AI策略产品经理**
职位描述团队介绍:小荷健康是字节跳动旗下的医疗健康品牌，我们致力于利用大模型技术，探索医疗健康服务的新范式孵化了“小荷AI医生”app，为用户提供专业的健康咨询服务。小荷健康拥有专业的医学和互联网产研团队，认真探索AI医疗。
负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理;1、2、与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地。职位要求
1、2027届本科及以上学历在读;
2、有计算机相关知识，掌握编程能力，了解算法和大语言模型等方面的知识;
3、有产品思维、有基本的用户理解、行业洞察、数据分析能力;
4、对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地;5、有很好的学习理解能力、逻辑思维能力，有自驱力/好奇心/求知欲等，结果导向，有成长潜力;6、如果你有医疗景，对医疗和健康行业有理想与热情，会更加加分。",matchable,Important,,GoFin 对话式目标创建 + LLM/RAG integration (ev 28); LLM application development (ev ai_experience:0) | partial: GoFin is a delivered product rather than framed as demos/workflows,,output a product Demo / build an AI-application workflow and push it to landing,GoFin 对话式目标创建 + LLM/RAG integration (ev 28); LLM application development (ev ai_experience:0),GoFin is a delivered product rather than framed as demos/workflows,none material,,,,,pending
v2paste:8bd2292a5974ba67,字节跳动 (ByteDance),AI策略产品经理,ai_product,campus_new_grad,v2real_b312d0137a22,有产品思维、有基本的用户理解、行业洞察、数据分析能力,有产品思维、有基本的用户理解、行业洞察、数据分析能力,"**AI策略产品经理**
职位描述团队介绍:小荷健康是字节跳动旗下的医疗健康品牌，我们致力于利用大模型技术，探索医疗健康服务的新范式孵化了“小荷AI医生”app，为用户提供专业的健康咨询服务。小荷健康拥有专业的医学和互联网产研团队，认真探索AI医疗。
负责抖音产品工作，独立跟进子项目的需求分析与规划，产品需求梳理;1、2、与技术团队紧密协作，探索并提出创新的解决方案，推动方案落地。职位要求
1、2027届本科及以上学历在读;
2、有计算机相关知识，掌握编程能力，了解算法和大语言模型等方面的知识;
3、有产品思维、有基本的用户理解、行业洞察、数据分析能力;
4、对业务有理解、能基于明确的业务场景或需求输出产品Demo或搭建AI应用等工作流，高效推动产品落地;5、有很好的学习理解能力、逻辑思维能力，有自驱力/好奇心/求知欲等，结果导向，有成长潜力;6、如果你有医疗景，对医疗和健康行业有理想与热情，会更加加分。",matchable,Important,,"data analysis (ev 19, 20, 30); 用户场景分析 (ev 21); 客户反馈分析 (ev 27); competitor analysis across 产品/技术/体验 (ev 23) | partial: broad '行业洞察' beyond competitor analysis is less quantified",,product thinking + basic user understanding + industry insight + data-analysis ability,"data analysis (ev 19, 20, 30); 用户场景分析 (ev 21); 客户反馈分析 (ev 27); competitor analysis across 产品/技术/体验 (ev 23)",broad '行业洞察' beyond competitor analysis is less quantified,none material,,,,,pending
v2paste:ee7963fc9c8e9269,,平台AI产品经理,platform_enterprise_product,unknown,v2real_76dde792d2cc,参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革,参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革,"**平台AI产品经理**
职位描述
1、参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革;
2、输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付;3、不断优化产品，探索标准化、模块化的交互场景方案，并进行定期更新和维护;4、与业务、运营团队紧密配合，收集产品数据、用户反馈，建立产品评价体系，推进持续迭代;5、参与业务拓展，根据业务特点制定解决方案，为业务赋能提效
任职要求
1、本科及以上学历，计算机、数学等相关专业;
2、具有一定计算机基础，了解基础组件、微服务治理优先;
3、同理心强，善于沟通、协作、换位思考，能深度挖掘用户需求;
4、逻辑清晰，抽象化、结构化能力强，具备将复杂场景解构能力;
5、数据导向，能够将业务场景数字化，明确核心数据目标，指导产品迭代。",matchable,Important,,data architecture design (ev technical_experience:8); automated ETL (ev 18); finance domain (ev domain_experience:0); data support for model training (ev 22) | partial: platform product ownership shown via GoFin (a platform) but not internal-efficiency / HR; ML-infra exposure is via data-prep for training | absent: internal collaboration-office / R&D-efficiency / HR product; cloud-infrastructure product ownership,,own an internal collaboration-office / AI-innovation / R&D-efficiency / finance-HR product on cloud / big-data / ML infrastructure,data architecture design (ev technical_experience:8); automated ETL (ev 18); finance domain (ev domain_experience:0); data support for model training (ev 22),platform product ownership shown via GoFin (a platform) but not internal-efficiency / HR; ML-infra exposure is via data-prep for training,internal collaboration-office / R&D-efficiency / HR product; cloud-infrastructure product ownership,,,,,pending
v2paste:ee7963fc9c8e9269,,平台AI产品经理,platform_enterprise_product,unknown,v2real_17d83c4ded86,输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付,输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付,"**平台AI产品经理**
职位描述
1、参与内部协同办公、AI创新、研发效能、财务&HR相关产品领域革新，通过云、大数据、机器学习等基础设施，追求极致化效率与体验，并带来管理数字化变革;
2、输出高质量的产品文档，协调设计、研发、QA资源，确保产品的高质量交付;3、不断优化产品，探索标准化、模块化的交互场景方案，并进行定期更新和维护;4、与业务、运营团队紧密配合，收集产品数据、用户反馈，建立产品评价体系，推进持续迭代;5、参与业务拓展，根据业务特点制定解决方案，为业务赋能提效
任职要求
1、本科及以上学历，计算机、数学等相关专业;
2、具有一定计算机基础，了解基础组件、微服务治理优先;
3、同理心强，善于沟通、协作、换位思考，能深度挖掘用户需求;
4、逻辑清晰，抽象化、结构化能力强，具备将复杂场景解构能力;
5、数据导向，能够将业务场景数字化，明确核心数据目标，指导产品迭代。",matchable,Important,,"GoFin Backlog / User Stories / 跨职能交付 (ev 28, product_experience:5); 产品迭代交付 (ev product_experience:9) | partial: explicit QA-resource coordination not separately evidenced",,author high-quality product docs; coordinate design / dev / QA resources to ensure quality delivery,"GoFin Backlog / User Stories / 跨职能交付 (ev 28, product_experience:5); 产品迭代交付 (ev product_experience:9)",explicit QA-resource coordination not separately evidenced,none material,,,,,pending
