requirement_id,job_id,scenario_id,scenario_category,requirement_index,requirement_type,importance,requirement_text
synreq_c7935c589246,synv2:A01,A01,technology_adjacency,1,matchable,Critical,具备图文 / 视频 / 语音多模态大模型产品经验
synreq_51031ce43fe5,synv2:A01,A01,technology_adjacency,2,matchable,Important,有完整的 LLM / 对话式 AI 产品从需求到上线的落地经历
synreq_31c5518593af,synv2:A01,A01,technology_adjacency,3,knowledge,Important,理解多模态对齐与跨模态表征的基本原理
synreq_8e885ffb7ca8,synv2:A01,A01,technology_adjacency,4,eligibility,Critical,本科及以上学历
synreq_38c8abd3340b,synv2:A01,A01,technology_adjacency,5,subjective,Preferred,对 AI 产品有极强的热情与好奇心
synreq_e2fc941b8edc,synv2:A02,A02,technology_adjacency,1,matchable,Critical,有语音识别 (ASR) / 语音交互产品经验
synreq_b2cbe0bd5931,synv2:A02,A02,technology_adjacency,2,matchable,Important,能够评估 AI 方案的业务价值与可行性
synreq_f425c37552b5,synv2:A02,A02,technology_adjacency,3,eligibility,Critical,1-3 年产品相关工作经验
synreq_1fcf79bae62d,synv2:A02,A02,technology_adjacency,4,knowledge,Important,了解 ASR 声学模型与端到端语音识别的基本机制
synreq_399feb01aabb,synv2:A03,A03,technology_adjacency,1,matchable,Critical,有大模型精度调优 / 基模训练 / 强化学习训练经验
synreq_c9997f649ea6,synv2:A03,A03,technology_adjacency,2,matchable,Important,熟悉大模型训练流程与实验管理
synreq_816b778459ec,synv2:A03,A03,technology_adjacency,3,matchable,Important,具备跨职能协作与项目管理能力
synreq_ba67eccabf56,synv2:A03,A03,technology_adjacency,4,eligibility,Critical,硕士及以上学历
synreq_7cad45ec2c81,synv2:A03,A03,technology_adjacency,5,knowledge,Important,了解分布式训练与混合精度训练的能力边界
synreq_b23aa93e2e64,synv2:A04,A04,technology_adjacency,1,matchable,Critical,有推荐系统召回 / 排序 / 重排的专项策略经验
synreq_790c0d429007,synv2:A04,A04,technology_adjacency,2,matchable,Important,具备扎实的数据分析与逻辑思维能力
synreq_35910053a290,synv2:A04,A04,technology_adjacency,3,eligibility,Critical,本科及以上学历
synreq_3470be3ec6b4,synv2:A04,A04,technology_adjacency,4,subjective,Preferred,对推荐与个性化技术有浓厚兴趣
synreq_ac0a9beffc73,synv2:A05,A05,technology_adjacency,1,matchable,Critical,有搜索排序 / 相关性策略的实际项目经验
synreq_1ecbab51908d,synv2:A05,A05,technology_adjacency,2,matchable,Important,有 RAG 应用的产品实践经验
synreq_e6e7cbddef6b,synv2:A05,A05,technology_adjacency,3,eligibility,Critical,本科及以上学历
synreq_841e72d3ba7a,synv2:A05,A05,technology_adjacency,4,knowledge,Important,理解倒排索引与向量检索的适用边界
synreq_0ba286dafff6,synv2:A06,A06,technology_adjacency,1,matchable,Critical,有图文 / 视频多模态生成产品经验
synreq_6c53bb4ff35e,synv2:A06,A06,technology_adjacency,2,matchable,Important,具备产品设计与功能策划能力
synreq_a204bd31f64c,synv2:A06,A06,technology_adjacency,3,eligibility,Critical,本科及以上学历
synreq_50afb4f7241c,synv2:A06,A06,technology_adjacency,4,subjective,Preferred,热爱 AIGC 与创意工具
synreq_6bb69f136644,synv2:A07,A07,technology_adjacency,1,matchable,Critical,有语音大模型 / TTS / 语音合成产品经验
synreq_4c7c53a4315e,synv2:A07,A07,technology_adjacency,2,matchable,Important,有完整的 LLM / 对话式 AI 产品从需求到上线的落地经历
synreq_d5aa04c5ea2f,synv2:A07,A07,technology_adjacency,3,eligibility,Critical,1-3 年产品相关工作经验
synreq_5558166c34d5,synv2:A07,A07,technology_adjacency,4,knowledge,Important,了解语音合成与声码器的基本原理
synreq_90a7361ccef9,synv2:A08,A08,technology_adjacency,1,matchable,Critical,有 RLHF / 强化学习 / 偏好对齐训练经验
synreq_b82863bde319,synv2:A08,A08,technology_adjacency,2,matchable,Important,有模型效果评估经验
synreq_8ab808150f23,synv2:A08,A08,technology_adjacency,3,matchable,Important,具备扎实的数据分析与逻辑思维能力
synreq_d9128fddc70e,synv2:A08,A08,technology_adjacency,4,eligibility,Critical,硕士及以上学历
synreq_a360714f2baa,synv2:A08,A08,technology_adjacency,5,knowledge,Important,理解 RLHF 与 DPO 的基本流程与差异
synreq_a7efd870a86b,synv2:A09,A09,technology_adjacency,1,matchable,Critical,熟悉 vLLM / SGLang 等大模型推理框架
synreq_34eac9ebb94e,synv2:A09,A09,technology_adjacency,2,matchable,Important,有 GPU / 国产算力卡算子开发经验
synreq_b6e60db72007,synv2:A09,A09,technology_adjacency,3,matchable,Important,具备跨职能协作与项目管理能力
synreq_da2a5622630f,synv2:A09,A09,technology_adjacency,4,eligibility,Critical,本科及以上学历
