job_id,company,requirement_id,normalized_requirement,source_context,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_bucket
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,"Experience with enterprise SaaS products, configurable platforms, or multi-tenant product environments.",Partial,Missing,resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,I. available adjacent evidence missed
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先,Missing,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人在中国电子云有AI大模型实习经验，参与过LLM集成和RAG应用开发，但缺少多模态、AIGC或社交娱乐产品的直接经验，且实习经历未达2年产品设计要求。,E. technology / domain adjacency over-credited
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,reqv2_8e1b2b33ed5b36a1,语音交互大模型方向工作或科研经历,国内重点院校本科/研究生毕业，有语音交互大模型等相关方向工作经验或科研项目经历优先,Missing,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人有AI大模型实习经历和LLM应用开发经验，但缺乏语音交互方向的具体工作或科研项目。现有经验集中在通用大模型应用、RAG和对话系统，未涉及语音模态。,E. technology / domain adjacency over-credited
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,reqv2_e3eb1e145f323224,熟悉 AI 领域或医疗健康行业,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,Strong,Partial,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人在AI领域有实践经验，包括AI大模型实习、LLM集成、RAG应用和NLP项目，但在医疗健康行业方面没有直接经验。,G. OR-list: one satisfied alternative not credited
tencent:2092538895714664448,腾讯,reqv2_7c8882c717660066,独立完成需求分析、产品设计、项目推进与数据迭代,2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:19,resume_extracted:28|resume_extracted:20|resume_extracted:resume:1:product_experience:9|resume_extracted:resume:1:product_experience:7,True,"候选人在GoFin项目中负责需求、产品流程、User Stories和跨职能交付,在KPay实习中进行数据分析和业务洞察,具备一定的需求分析和产品设计能力。但作为应届生,独立完成完整产品周期的深度和广度仍需验证。",D. project experience under-credited vs GT formal-role acceptance
tencent:2088450750270324736,腾讯,reqv2_377262a20b779d20,具有完整 AI 产品落地经历,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人在GoFin项目中负责LLM集成和RAG应用,并在中国电子云参与大模型产品需求讨论,但缺少从需求定义、开发到上线运营的完整AI产品落地全流程证据。",D. project experience under-credited vs GT formal-role acceptance
tencent:2077347119940939776,腾讯,reqv2_9149c4b1d212048c,AI Agent、大模型应用或智能助手类产品经验,1.本科及以上学历，3年以上产品经理工作经验，有AI Agent、大模型应用或智能助手类产品经验者优先；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人在中国电子云参与大模型应用方向探索,在GoFin项目中负责LLM集成和RAG实现,简历显示具备大语言模型应用开发和RAG文件分析经验。但经验主要来自实习和个人项目,缺少完整的AI Agent或智能助手类产品从0到1的产品经理经验。",D. project experience under-credited vs GT formal-role acceptance
tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人具备LLM和RAG应用开发经验,在GoFin项目中负责LLM集成和对话式交互。但该项目偏向B端金融场景,缺少C端AI产品规模化落地的完整经验。","B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
tencent:1978467627152072704,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,4.出色的系统性思考与问题拆解能力，逻辑清晰，能独立负责复杂产品模块的从 0 到 1；,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:technical_experience:8,True,"候选人在GoFin项目中作为Product Owner独立负责产品流程、Backlog管理和跨职能交付,在KPay设计增长策略与运营框架并搭建数据架构,展现出系统性思考和从0到1的能力。",J. proficiency / depth / scope overclaim
tencent:1978467627152072704,腾讯,reqv2_0d2628dae4ed1e9d,算法工作经验,7.一年及以上产品工作经验；曾经有算法工作经验的同学优先。,Partial,Missing,resume_extracted:22|resume_extracted:29,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,I. available adjacent evidence missed
tencent:2036621556322562048,腾讯,reqv2_e913e8618fce3ef0,用户感知力与问题发现解决能力,3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。,Strong,Partial,resume_extracted:27|resume_extracted:19,resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:23|resume_extracted:21,True,"候选人在金融服务和产品开发中积累了客户反馈分析和体验优化经验,展现了一定的用户感知力,但在主动发现并解决产品问题方面的深度案例有限。","B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
tencent:2052527703940313088,腾讯,reqv2_5dfabc3bf0e9566f,具有 AI 原生或 Agent 产品完整落地经验,有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4|resume_extracted:21,True,"候选人在 GoFin 项目中负责 LLM 集成和 RAG 应用,具备 AI 产品开发经验,但未明确展示完整的 AI 原生或 Agent 产品从 0 到 1 落地全流程与可验证成果。",D. project experience under-credited vs GT formal-role acceptance
tencent:2052527703940313088,腾讯,reqv2_d51e7d995d268f8f,产品判断力与用户共情能力,具备优秀的产品判断力与用户共情能力，,Strong,Partial,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:21|resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:28,True,"候选人参与产品需求讨论、用户场景分析和客户反馈收集,展现一定的产品判断与用户共情能力,但缺少具体的优秀产品决策案例。","B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
tencent:2052527703940313088,腾讯,reqv2_2aa26881dbfb4a32,设计可扩展方案并推动跨团队闭环,设计稳健、可扩展的产品方案与协同流程，并推动跨团队项目高效闭环；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:technical_experience:8,True,"候选人在 KPay 设计数据架构与运营框架,在 GoFin 协调跨职能团队交付,具备一定的方案设计与跨团队推动经验,但稳健性、可扩展性与高效闭环的深度案例不足。","B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
greenhouse:4186650005,SES AI,reqv2_eb1153f86b18ee41,data analysis tools (Tableau/PowerBI/FineBI/SQL),"Proficient in Axure and other product prototype tools; familiar with Tableau, PowerBI, FineBI, SQL and other data analysis tools is preferred",Partial,Strong,resume_extracted:18|resume_extracted:resume:1:skills:4,resume_extracted:18|resume_extracted:30|resume_extracted:resume:1:skills:4|resume_extracted:19,True,"候选人在KPay实习期间搭建数据架构并设计SQL触发器,在多个项目中使用Python处理百万级数据并开展可视化,具备扎实的SQL和数据分析能力。",J. proficiency / depth / scope overclaim
tencent:2013806539382611968,腾讯,reqv2_d9a6fa37fdf720f1,将数据工作流抽象为可执行可评估的产品方案,具备复杂业务场景抽象能力，能够将数据工作流程拆解为可理解、可执行、可评估的产品方案；,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:16|resume_extracted:28|resume_extracted:19|resume_extracted:resume:1:technical_experience:8,True,候选人在KPay实习中设计过渠道增长策略与运营框架，在GoFin项目中负责产品流程和Backlog管理，展现了一定的业务抽象能力，但将数据工作流拆解为可执行可评估方案的直接证据有限。,"B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
tencent:2047239002926510080,腾讯,reqv2_a6ad3fd74c22598d,理解数仓架构、熟悉数据开发与治理流程,了解数仓架构，熟悉数据开发和治理流程，熟练应用SQL语言；,Partial,UNRECONCILED,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_b6da57f753507117,熟练使用 SQL,熟练应用SQL语言；,Strong,UNRECONCILED,resume_extracted:18|resume_extracted:resume:1:skills:4,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_b6cf969fde1203cf,数据产品策划或运营经验,有数据产品策划运营经验，,Partial,UNRECONCILED,resume_extracted:16|resume_extracted:18|resume_extracted:28,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_8e372cde74f05aee,逻辑思维与数据分析能力,具备良好的逻辑思维和数据分析能力、,Strong,UNRECONCILED,resume_extracted:19|resume_extracted:20|resume_extracted:30,,,,L. schema/normalization failure (job-level duplicate id)
