model,slice,n,n_reconciled,accuracy,macro_f1,errors,unreconciled,directional
qwen3.8-max,or_list,18,18,0.5,0.5212,9,0,Missing->Partial=2;Strong->Partial=6;Partial->Strong=1
qwen3.8-max,technology_adjacency,5,5,0.8,,1,0,Missing->Partial=1
qwen3.8-max,project_based_evidence,68,68,0.7353,0.7212,18,0,Missing->Partial=2;Partial->Strong=11;Strong->Partial=5
qwen3.8-max,formal_work_experience,11,11,0.5455,,5,0,Missing->Partial=2;Strong->Partial=3
qwen3.8-max,compound,13,13,0.4615,0.5101,7,0,Missing->Partial=1;Partial->Strong=4;Strong->Partial=2
qwen3.8-max,proficiency_depth,11,11,0.9091,,1,0,Partial->Strong=1
qwen3.8-max,domain_specific,11,11,0.6364,,4,0,Missing->Partial=1;Strong->Partial=3
qwen3.8-max,small_matchable_jobs,51,51,0.8235,0.8001,9,0,Missing->Partial=2;Strong->Partial=4;Partial->Strong=3
qwen3.8-max,one_requirement_jobs,4,4,0.75,,1,0,Strong->Partial=1
qwen3.8-max,mismatched_control_jobs,13,13,0.9231,0.9153,1,0,Partial->Strong=1
qwen3.8-max,chinese_jd,93,93,0.7634,0.7608,22,0,Missing->Partial=2;Strong->Partial=8;Partial->Strong=11;Partial->Missing=1
