priority_tier,scenario_id,scenario_category,job_title,career_stage,role_family,requirement_text,requirement_type,importance,expected_label,gt_rationale,candidate_evidence_referenced,why_this_is_a_probe,gt_inconsistency_risk,human_review_status,human_label,human_notes
A_scenario_requires_manual_review,D03,partial_missing_boundary,AI 基础设施产品经理,experienced,platform_enterprise_product,独立承担过大型 AI Infra 系统的设计、开发与调测,matchable,Critical,Missing,有系统设计 + LLM 后端集成，但无独立承担大型 AI Infra 系统开发调测证据（相邻不足→Missing，标记复核）,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
A_scenario_requires_manual_review,D06,partial_missing_boundary,AI 训练数据产品经理,early_career,data_product,有大规模标注体系与训练数据闭环的专项经验,matchable,Critical,Missing,有训练数据辅助，无大规模标注体系与训练数据闭环专项证据（标记复核）,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
B_compound_probes,F01,compound,数据实验产品经理,campus_new_grad,data_product,熟练使用 SQL 且 具备 A/B 实验设计与执行能力,matchable,Critical,Partial,,see gt_rationale,Compound (AND) probe: the requirement genuinely asks for two material subclaims — tests how the matcher resolves a requirement where the subclaims have different support levels. MONITORING CASE — the mechanical draft label is NOT guaranteed correct; see item 7.,HIGH,pending,,
B_compound_probes,F02,compound,Agent 产品经理,experienced,ai_product,具备 Agent 设计能力 且 Agent 专项评测能力,matchable,Critical,Partial,"有模型性能评估与 Agent 产品测试，但无 Agent 专项评测体系 (ev ai_experience:11,28)","ev ai_experience:11,28",Compound (AND) probe: the requirement genuinely asks for two material subclaims — tests how the matcher resolves a requirement where the subclaims have different support levels. MONITORING CASE — the mechanical draft label is NOT guaranteed correct; see item 7.,MEDIUM,pending,,
B_compound_probes,F03,compound,企业 AI 商业化产品经理,experienced,strategy_growth_fintech_product,有企业级产品经验 且 完整商业化闭环经验,matchable,Critical,Partial,Product Owner 主导需求→交付，但无独立量化业务成果 (ev 28),ev 28,Compound (AND) probe: the requirement genuinely asks for two material subclaims — tests how the matcher resolves a requirement where the subclaims have different support levels. MONITORING CASE — the mechanical draft label is NOT guaranteed correct; see item 7.,MEDIUM,pending,,
B_compound_probes,F04,compound,全栈 AI 产品经理,early_career,ai_product,具备 LLM 应用交付能力 且 模型精度调优能力,matchable,Critical,Partial,,see gt_rationale,Compound (AND) probe: the requirement genuinely asks for two material subclaims — tests how the matcher resolves a requirement where the subclaims have different support levels. MONITORING CASE — the mechanical draft label is NOT guaranteed correct; see item 7.,HIGH,pending,,
B_compound_probes,F05,compound,数据治理产品经理,experienced,data_product,有数据开发经验 且 数据治理全流程经验,matchable,Critical,Partial,"有数据架构与自动化 ETL，但无数仓+数据治理全流程证据 (ev 18,technical_experience:8)","ev 18,technical_experience:8",Compound (AND) probe: the requirement genuinely asks for two material subclaims — tests how the matcher resolves a requirement where the subclaims have different support levels. MONITORING CASE — the mechanical draft label is NOT guaranteed correct; see item 7.,LOW,pending,,
C_or_alternative_probes,E01,or_alternative,行业 AI 产品经理,early_career,strategy_growth_fintech_product,有 金融 或 保险 或 支付 行业经验（满足其一即可）,matchable,Critical,Strong,"支付/银行/金融产品/合规 (ev 16,24,26,domain_experience:0)","ev 16,24,26,domain_experience:0",OR/alternative probe: the requirement lists explicit alternative branches; one branch is genuinely satisfied — tests whether the matcher wrongly marks Missing because other unmet branches are present.,,pending,,
C_or_alternative_probes,E02,or_alternative,AI 能力产品经理,campus_new_grad,ai_product,有 Agent 或 RAG 或 工作流自动化 经验（满足其一即可）,matchable,Critical,Strong,"对话式 Agent + RAG 产品实践 (ev 28,ai_experience:4)","ev 28,ai_experience:4",OR/alternative probe: the requirement lists explicit alternative branches; one branch is genuinely satisfied — tests whether the matcher wrongly marks Missing because other unmet branches are present.,,pending,,
C_or_alternative_probes,E03,or_alternative,数据方向产品经理,campus_new_grad,data_product,熟练使用 SQL 或 Python 进行数据分析（满足其一即可）,matchable,Critical,Strong,"SQL 技能目录 + SQL 触发器/归因项目 (ev 18,skills:4)","ev 18,skills:4",OR/alternative probe: the requirement lists explicit alternative branches; one branch is genuinely satisfied — tests whether the matcher wrongly marks Missing because other unmet branches are present.,,pending,,
C_or_alternative_probes,E04,or_alternative,场景 AI 产品经理,early_career,ai_product,有 对话式 AI 或 推荐 或 搜索 产品经验（满足其一即可）,matchable,Critical,Strong,"GoFin 完整落地：需求→设计→跨职能→迭代→上线 (ev 28,product_experience:9)","ev 28,product_experience:9",OR/alternative probe: the requirement lists explicit alternative branches; one branch is genuinely satisfied — tests whether the matcher wrongly marks Missing because other unmet branches are present.,,pending,,
C_or_alternative_probes,E05,or_alternative,增长 AI 产品经理,campus_new_grad,strategy_growth_fintech_product,有 用户增长 或 用户运营 或 内容平台 经验（满足其一即可）,matchable,Critical,Strong,"KPay 增长策略/增长运营/转化优化 (ev 16,19,domain_experience:3)","ev 16,19,domain_experience:3",OR/alternative probe: the requirement lists explicit alternative branches; one branch is genuinely satisfied — tests whether the matcher wrongly marks Missing because other unmet branches are present.,,pending,,
D_project_vs_formal_work_probes,B02,project_vs_formal_work,AI 产品负责人,experienced,ai_product,有从 0 到 1 主导产品并取得可量化业务成果的经历,matchable,Critical,Partial,Product Owner 主导需求→交付，但无独立量化业务成果 (ev 28),ev 28,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B03,project_vs_formal_work,AI 应用交付产品经理,campus_new_grad,ai_product,有 AI 功能的完整动手交付经验（强调实操而非正式任职年限）,matchable,Critical,Strong,"GoFin 完整落地：需求→设计→跨职能→迭代→上线 (ev 28,product_experience:9)","ev 28,product_experience:9","Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B04,project_vs_formal_work,企业 AI 产品经理,early_career,platform_enterprise_product,有企业级 SaaS / 多租户产品经验,matchable,Important,Partial,有可配置财务平台产品，但无企业 SaaS/多租户证据 (ev 28),ev 28,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
