model,slice,n,n_reconciled,accuracy,macro_f1,errors,unreconciled,directional
kimi-k3,or_list,18,18,0.6111,0.5624,7,0,Missing->Partial=4;Partial->Strong=2;Strong->Partial=1
kimi-k3,technology_adjacency,5,5,0.6,,2,0,Missing->Partial=2
kimi-k3,project_based_evidence,57,57,0.7368,0.6903,15,0,Partial->Missing=1;Missing->Partial=3;Strong->Partial=5;Partial->Strong=6
kimi-k3,formal_work_experience,11,11,0.6364,,4,0,Missing->Partial=3;Partial->Strong=1
kimi-k3,compound,13,12,0.5833,0.604,5,1,Missing->Partial=1;Strong->Partial=2;Partial->Strong=2
kimi-k3,proficiency_depth,11,9,1.0,,0,2,
kimi-k3,domain_specific,11,10,0.9,,1,1,Missing->Partial=1
kimi-k3,small_matchable_jobs,51,51,0.7059,0.6799,15,0,Partial->Missing=1;Missing->Partial=3;Strong->Partial=8;Partial->Strong=3
kimi-k3,one_requirement_jobs,4,4,1.0,,0,0,
kimi-k3,mismatched_control_jobs,13,13,0.8462,0.8426,2,0,Partial->Strong=1;Missing->Partial=1
kimi-k3,chinese_jd,93,84,0.7619,0.7698,20,9,Missing->Partial=4;Strong->Partial=11;Partial->Strong=5
