model,job_id,matchable_requirement_count,latency_ms,input_tokens,output_tokens,reasoning_tokens,total_tokens,retry_count,schema_ok,norm_ok
kimi-k3,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,2,30983.2,3413,670,127,4083,0,True,True
kimi-k3,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,17966.8,3369,605,91,3974,0,True,True
kimi-k3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,30447.0,3394,707,199,4101,0,True,True
kimi-k3,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,3,22137.6,3480,635,94,4115,0,True,True
kimi-k3,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,9272.8,3302,228,17,3530,0,True,True
kimi-k3,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,3,25892.8,3444,667,43,4111,0,True,True
kimi-k3,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,12889.4,3303,239,28,3542,0,True,True
kimi-k3,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,28477.3,3548,1051,230,4599,0,True,True
kimi-k3,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,3,36029.2,3454,932,239,4386,0,True,True
kimi-k3,tencent:2092538895714664448,2,28071.8,3405,782,131,4187,0,True,True
kimi-k3,tencent:2088450750270324736,5,43348.2,3668,1301,435,4969,0,True,True
kimi-k3,tencent:2077347119940939776,1,16882.2,3323,416,50,3739,0,True,True
kimi-k3,tencent:1978467627152072704,8,51345.0,3962,1777,407,5739,0,True,True
kimi-k3,tencent:2036621556322562048,3,28948.2,3483,856,219,4339,0,True,True
kimi-k3,tencent:2052527703940313088,6,31116.8,3691,983,4,4674,0,True,True
kimi-k3,greenhouse:4186650005,3,31019.2,3508,770,84,4278,0,True,True
kimi-k3,tencent:2077246089718837248,2,31775.8,3430,879,244,4309,0,True,True
kimi-k3,tencent:2013806539382611968,3,30682.7,3493,817,145,4310,0,True,True
kimi-k3,tencent:2047239002926510080,9,59126.4,3835,1776,378,5611,0,False,False
kimi-k3,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,1,18307.7,3300,416,144,3716,0,True,True
kimi-k3,baidu:1270fb70-730e-4569-9385-b013690e607d,2,18223.9,3365,481,77,3846,0,True,True
kimi-k3,tencent:1994013057063473152,3,29728.8,3442,693,107,4135,0,True,True
kimi-k3,tencent:2078278970276753408,3,23043.2,3479,673,70,4152,0,True,True
kimi-k3,tencent:2041409199149314048,3,40708.3,3523,1132,559,4655,0,True,True
kimi-k3,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,2,21958.8,3395,568,124,3963,0,True,True
kimi-k3,huawei:28183,8,55562.1,3830,1679,545,5509,0,True,True
kimi-k3,tencent:2064981110395420672,3,23346.5,3470,506,54,3976,0,True,True
kimi-k3,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,16497.1,3437,538,42,3975,0,True,True
kimi-k3,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,34779.7,3533,957,175,4490,0,True,True
kimi-k3,tencent:2083093175941115904,5,34619.9,3574,943,156,4517,0,True,True
