risk_score,job_title,job_id,requirement_id,requirement_type,importance,gt_label,score_included,normalized_requirement,wording_flags,important_preferred_flip_delta,job_matchable_count,job_baseline_gt_score,importance_human_verified,human_importance,importance_review_status,human_importance_notes
6,AI产品经理（J84006）,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,reqv2_c5c5a841f5fb83b6,matchable,Preferred,Missing,True,多模态大模型应用 / AIGC / 社交娱乐类产品经验,优先,25,2,50,False,,pending,
6,AI产品经理,tencent:2092538895714664448,reqv2_7c4b6a0fd084f77d,matchable,Preferred,Missing,True,开发者工具、研发效能或平台型产品经验,优先,25,2,75,False,,pending,
6,AI产品经理（J84492）,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,reqv2_8e1b2b33ed5b36a1,matchable,Preferred,Missing,True,语音交互大模型方向工作或科研经历,优先,23,3,80,False,,pending,
6,腾讯云-经营系统产品经理,tencent:2078278970276753408,reqv2_f982055a8756f25d,matchable,Important,Missing,True,熟悉企业经营管理流程,优先,17,3,43,False,,pending,
6,腾讯视频-增长产品经理,tencent:2083093175941115904,reqv2_cd8c089c6f3c4688,matchable,Important,Missing,True,通过 AB 实验驱动产品迭代,熟练,14,5,77,False,,pending,
6,光子 AI-数据平台产品经理,tencent:2077246089718837248,reqv2_f2105cecb6db9371,matchable,Preferred,Partial,True,B 端 / 数据 / AI / 研发效能平台或企业内部系统产品经验,优先|年以上,13,2,88,False,,pending,
6,腾讯会议-评测产品经理,tencent:2041409199149314048,reqv2_2a8d6b3110257858,matchable,Important,Partial,True,AI / 策略 / 评测产品相关经验,优先,13,3,70,False,,pending,
6,AI产品经理（J98328）,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,reqv2_5cfb41f2e516a713,matchable,Preferred,Partial,True,一年以上产品工作经验,优先|年以上,11,3,90,False,,pending,
6,腾讯云-经营系统产品经理,tencent:2078278970276753408,reqv2_797f42487cad1cf5,matchable,Preferred,Missing,True,企业合同管理流程 / 系统设计经验,优先,10,3,43,False,,pending,
6,大模型应用平台产品经理（J85776）,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_f7ca00a2f542fb78,matchable,Important,Partial,True,复杂需求抽象、客户场景理解与产品工具使用,熟练,9,3,71,False,,pending,
5,微信-语音识别算法工程师,tencent:2064981110395420672,reqv2_db1d8efa4071bf5f,matchable,Important,Missing,True,流式语音识别模型研发经验（模型训练 / 流式解码 / 延迟优化）,,27,3,40,False,,pending,
5,AI产品经理（J84006）,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,reqv2_0431fe88ab60c3c3,matchable,Preferred,Strong,True,计算机或人工智能相关专业,优先,25,2,50,False,,pending,
5,微信-语音识别算法工程师,tencent:2064981110395420672,reqv2_ddd61beb368e5153,matchable,Preferred,Strong,True,计算机 / 人工智能 / 语音信号处理相关专业,优先,17,3,40,False,,pending,
5,微信-语音识别算法工程师,tencent:2064981110395420672,reqv2_ffe72039c28ab86a,matchable,Preferred,Strong,True,硕士及以上学历,优先,17,3,40,False,,pending,
5,腾讯会议-AI产品经理-ASR方向,tencent:2036621556322562048,reqv2_5685d10f28aca7c2,matchable,Important,Missing,True,熟悉语音交互相关技术（ASR / 语义理解 / TTS）,,14,3,50,False,,pending,
5,AI产品经理（J84492）,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,reqv2_63b051ca5b06efc5,matchable,Important,Strong,True,洞察与规律总结能力,优先,13,3,80,False,,pending,
5,AI-First Engineering Intern,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,reqv2_866eff0ae6a7bf23,matchable,Important,Partial,True,already uses AI tooling to build/ship faster,,13,2,75,False,,pending,
5,Data Product Manager,greenhouse:4186650005,reqv2_eb1153f86b18ee41,matchable,Preferred,Partial,True,data analysis tools (Tableau/PowerBI/FineBI/SQL),,11,3,10,False,,pending,
5,大数据产品经理（深圳/北京）,tencent:2013806539382611968,reqv2_91500289fe78e7b4,matchable,Important,Partial,True,数据开发 / 分析 / SQL / 指标体系 / 元数据 / 数据血缘 / 数据质量,,10,3,83,False,,pending,
5,腾讯会议-评测产品经理,tencent:2041409199149314048,reqv2_6907a4e2deac1add,matchable,Preferred,Strong,True,计算机 / AI / 语言学 / 数据分析 / 人机交互相关专业,优先,9,3,70,False,,pending,
5,腾讯会议-评测产品经理,tencent:2041409199149314048,reqv2_23a50d8ef3c57335,matchable,Preferred,Strong,True,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,优先,9,3,70,False,,pending,
5,大模型产品经理（J72652）,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,reqv2_49c9c07f1ba12d7b,matchable,Important,Partial,True,对大模型数据质量与评估有判断力,,8,4,75,False,,pending,
5,AI产品经理-AI平台（Agent）方向,tencent:2088450750270324736,reqv2_17b2403b35e713d3,matchable,Important,Partial,True,能与工程团队在 Agent 架构层面有效对齐,优先,6,5,77,False,,pending,
5,大模型产品经理（J72652）,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,reqv2_07af529c4484028b,matchable,Preferred,Partial,True,相关 AI 策略产品经理工作经历（搜索/推荐/对话/电商/数字人等）,优先,5,4,75,False,,pending,
5,大模型应用平台产品经理（J85776）,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_7e3a449a4232300b,matchable,Preferred,Partial,True,AI 平台类或 B 端产品经验,优先,4,3,71,False,,pending,
5,AI产品经理-AI平台（Agent）方向,tencent:2088450750270324736,reqv2_f10bb045c924ce66,matchable,Preferred,Partial,True,Agent 评测经验,优先,4,5,77,False,,pending,
