job_id,company,title,human_match_fit,baseline_match_score,score_status,matchable_requirement_count,predicted_strong,predicted_partial,predicted_missing,ground_truth_strong,ground_truth_partial,ground_truth_missing,absolute_rank_difference,eligibility_summary_reference,notes
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,3,38,available,2,0,1,1,0,2,0,4.0,eligibility evaluated separately (deterministic); excluded from this score,
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,5,100,available,2,2,0,0,2,0,0,0.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,3,75,available,2,1,1,0,1,0,1,9.0,eligibility evaluated separately (deterministic); excluded from this score,
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,3,90,available,3,2,1,0,2,0,1,13.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,4,100,available,1,1,0,0,1,0,0,8.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,4,80,available,3,1,2,0,2,1,0,1.0,eligibility evaluated separately (deterministic); excluded from this score,
baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,百度,北京-AI产品经理(J100665),5,100,available,1,1,0,0,1,0,0,0.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,4,75,available,4,2,2,0,2,2,0,0.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,4,71,available,3,1,2,0,1,2,0,2.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2092538895714664448,腾讯,AI产品经理,3,38,available,2,0,1,1,1,0,1,4.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,4,64,available,5,1,4,0,2,3,0,5.5,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2077347119940939776,腾讯,QQ-Agent产品经理,5,50,available,1,0,1,0,1,0,0,20.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,4,70,available,8,3,4,1,3,5,0,3.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,3,33,available,3,0,2,1,1,1,1,5.5,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,4,50,available,6,0,6,0,3,3,0,11.0,eligibility evaluated separately (deterministic); excluded from this score,
greenhouse:4186650005,SES AI,Data Product Manager,2,20,available,3,1,0,2,0,1,2,1.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,4,88,available,2,1,1,0,1,1,0,3.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,4,67,available,3,1,2,0,2,1,0,4.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,4,,unavailable,9,0,0,0,6,3,0,,eligibility evaluated separately (deterministic); excluded from this score,Claude did not return exactly one match for every requirement.
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,4,100,available,1,1,0,0,1,0,0,8.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:1270fb70-730e-4569-9385-b013690e607d,百度,北京-用户产品经理(J100806),5,100,available,2,2,0,0,2,0,0,0.5,eligibility evaluated separately (deterministic); excluded from this score,
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,4,83,available,3,2,1,0,3,0,0,2.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,2,64,available,3,1,1,1,1,0,2,9.5,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,4,60,available,3,1,2,0,2,1,0,7.5,eligibility evaluated separately (deterministic); excluded from this score,
xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,3,100,available,2,2,0,0,1,1,0,18.0,eligibility evaluated separately (deterministic); excluded from this score,
huawei:28183,华为,AI大模型架构师（训练/推理）,2,58,available,8,2,3,3,1,3,4,6.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,2,60,available,3,1,2,0,2,0,1,7.5,eligibility evaluated separately (deterministic); excluded from this score,
baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),5,93,available,3,2,1,0,3,0,0,4.0,eligibility evaluated separately (deterministic); excluded from this score,
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,2,19,available,4,0,1,3,0,0,4,2.0,eligibility evaluated separately (deterministic); excluded from this score,
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,4,50,available,5,1,3,1,4,0,1,11.0,eligibility evaluated separately (deterministic); excluded from this score,
