job_id,scenario_id,scenario_category,company,title,career_stage,role_family,ai_subdomain_tags,is_synthetic,scenario_requires_manual_review
synv2:A01,A01,technology_adjacency,星河智能,多模态大模型产品经理,campus_new_grad,ai_product,multimodal|llm_applications,True,False
synv2:A02,A02,technology_adjacency,云启科技,语音交互产品经理,early_career,ai_product,speech_asr|llm_applications,True,False
synv2:A03,A03,technology_adjacency,智源数科,模型训练平台产品经理,experienced,platform_enterprise_product,ai_infrastructure|ai_platform,True,False
synv2:A04,A04,technology_adjacency,澜图科技,推荐策略产品经理,early_career,ai_product,recommendation_search,True,False
synv2:A05,A05,technology_adjacency,熠芯科技,搜索产品经理,early_career,ai_product,recommendation_search|rag_knowledge_systems,True,False
synv2:A06,A06,technology_adjacency,鲸落数据,多模态内容生成产品经理,campus_new_grad,ai_product,multimodal|ai_consumer_products,True,False
synv2:A07,A07,technology_adjacency,天枢智联,语音大模型产品经理,early_career,ai_product,speech_asr,True,False
synv2:A08,A08,technology_adjacency,谷雨AI,强化学习训练产品经理,experienced,platform_enterprise_product,ai_infrastructure,True,False
synv2:A09,A09,technology_adjacency,岚山科技,大模型推理引擎产品经理,experienced,platform_enterprise_product,ai_infrastructure|ai_platform,True,False
synv2:A10,A10,technology_adjacency,序列智能,广告投放策略产品经理,campus_new_grad,ai_product,recommendation_search|ai_commercialisation,True,False
synv2:B01,B01,project_vs_formal_work,方舟云图,资深 AI 产品经理,experienced,ai_product,llm_applications|agent,True,False
synv2:B02,B02,project_vs_formal_work,河图数智,AI 产品负责人,experienced,ai_product,agent|ai_commercialisation,True,False
synv2:B03,B03,project_vs_formal_work,灯塔认知,AI 应用交付产品经理,campus_new_grad,ai_product,llm_applications|rag_knowledge_systems,True,False
synv2:B04,B04,project_vs_formal_work,昆仑映射,企业 AI 产品经理,early_career,platform_enterprise_product,enterprise_ai,True,False
synv2:B05,B05,project_vs_formal_work,青萍智算,AI Agent 产品专家,experienced,ai_product,agent|rag_knowledge_systems,True,False
synv2:B06,B06,project_vs_formal_work,溪流科技,金融 AI 产品经理,early_career,strategy_growth_fintech_product,ai_commercialisation|llm_applications,True,False
synv2:B07,B07,project_vs_formal_work,白泽智能,AI 产品经理（实习转正）,campus_new_grad,ai_product,llm_applications,True,False
synv2:B08,B08,project_vs_formal_work,拓扑星野,高级产品经理,experienced,general_product,ai_productivity,True,False
synv2:C01,C01,strong_partial_boundary,明镜数据,数据分析产品经理,early_career,data_product,enterprise_ai,True,False
synv2:C02,C02,strong_partial_boundary,涌流科技,RAG 知识库产品经理,campus_new_grad,ai_product,rag_knowledge_systems|llm_applications,True,False
