scenario_id,scenario_category,job_id,requirement_id,requirement_type,requirement_text,expected_label,gt_rationale,scenario_requires_manual_review,human_review_status,human_label,human_notes
A01,technology_adjacency,synv2:A01,synreq_c7935c589246,matchable,具备图文 / 视频 / 语音多模态大模型产品经验,Missing,仅 LLM/RAG，无多模态(图文/视频/语音)大模型产品证据,False,pending,,
A01,technology_adjacency,synv2:A01,synreq_51031ce43fe5,matchable,有完整的 LLM / 对话式 AI 产品从需求到上线的落地经历,Strong,"GoFin 完整落地：需求→设计→跨职能→迭代→上线 (ev 28,product_experience:9)",False,pending,,
A01,technology_adjacency,synv2:A01,synreq_31c5518593af,knowledge,理解多模态对齐与跨模态表征的基本原理,N/A,knowledge：仅作面试准备主题，不评分，不产生 Strong/Partial/Missing。,False,pending,,
A01,technology_adjacency,synv2:A01,synreq_8e885ffb7ca8,eligibility,本科及以上学历,Supported,已验证软件工程本科 → 满足本科及以上,False,pending,,
A01,technology_adjacency,synv2:A01,synreq_38c8abd3340b,subjective,对 AI 产品有极强的热情与好奇心,N/A,subjective：非评分主观期望，仅作上下文。测试 matcher 是否因 AI 关键词而误评分。,False,pending,,
A02,technology_adjacency,synv2:A02,synreq_e2fc941b8edc,matchable,有语音识别 (ASR) / 语音交互产品经验,Missing,无语音识别(ASR)/语音交互产品证据；对话式 chatbot ≠ ASR,False,pending,,
A02,technology_adjacency,synv2:A02,synreq_b2cbe0bd5931,matchable,能够评估 AI 方案的业务价值与可行性,Strong,"从用户/业务场景出发探索并落地大模型方案 (ev 21,28)",False,pending,,
A02,technology_adjacency,synv2:A02,synreq_f425c37552b5,eligibility,1-3 年产品相关工作经验,Unknown,有实习 + Product Owner 经历，但冻结证据未量化正式任职年限，无明确冲突 → Unknown,False,pending,,
A02,technology_adjacency,synv2:A02,synreq_1fcf79bae62d,knowledge,了解 ASR 声学模型与端到端语音识别的基本机制,N/A,knowledge：仅作面试准备主题，不评分，不产生 Strong/Partial/Missing。,False,pending,,
A03,technology_adjacency,synv2:A03,synreq_399feb01aabb,matchable,有大模型精度调优 / 基模训练 / 强化学习训练经验,Missing,"仅一般模型训练辅助与性能评估；大模型精度调优/基模/强化学习训练技术相邻不足以判 Partial (ev 22,ai_experience:11)",False,pending,,
A03,technology_adjacency,synv2:A03,synreq_c9997f649ea6,matchable,熟悉大模型训练流程与实验管理,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)",False,pending,,
A03,technology_adjacency,synv2:A03,synreq_816b778459ec,matchable,具备跨职能协作与项目管理能力,Strong,"Product Owner：客户汇报/优先级/跨团队交付 (ev 28,product_experience:5)",False,pending,,
A03,technology_adjacency,synv2:A03,synreq_ba67eccabf56,eligibility,硕士及以上学历,Supported,已验证信息技术(AI)硕士 → 满足硕士及以上,False,pending,,
A03,technology_adjacency,synv2:A03,synreq_7cad45ec2c81,knowledge,了解分布式训练与混合精度训练的能力边界,N/A,knowledge：仅作面试准备主题，不评分，不产生 Strong/Partial/Missing。,False,pending,,
A04,technology_adjacency,synv2:A04,synreq_b23aa93e2e64,matchable,有推荐系统召回 / 排序 / 重排的专项策略经验,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,False,pending,,
A04,technology_adjacency,synv2:A04,synreq_790c0d429007,matchable,具备扎实的数据分析与逻辑思维能力,Strong,"KPI/业务分析/百万级数据/ML 项目 (ev 19,20,30)",False,pending,,
A04,technology_adjacency,synv2:A04,synreq_35910053a290,eligibility,本科及以上学历,Supported,已验证软件工程本科 → 满足本科及以上,False,pending,,
A04,technology_adjacency,synv2:A04,synreq_3470be3ec6b4,subjective,对推荐与个性化技术有浓厚兴趣,N/A,subjective：非评分主观期望，仅作上下文。测试 matcher 是否因 AI 关键词而误评分。,False,pending,,
A05,technology_adjacency,synv2:A05,synreq_ac0a9beffc73,matchable,有搜索排序 / 相关性策略的实际项目经验,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,False,pending,,
A05,technology_adjacency,synv2:A05,synreq_1ecbab51908d,matchable,有 RAG 应用的产品实践经验,Strong,"对话式 Agent + RAG 产品实践 (ev 28,ai_experience:4)",False,pending,,
A05,technology_adjacency,synv2:A05,synreq_e6e7cbddef6b,eligibility,本科及以上学历,Supported,已验证软件工程本科 → 满足本科及以上,False,pending,,
A05,technology_adjacency,synv2:A05,synreq_841e72d3ba7a,knowledge,理解倒排索引与向量检索的适用边界,N/A,knowledge：仅作面试准备主题，不评分，不产生 Strong/Partial/Missing。,False,pending,,
