section,requirement_id,job,requirement_text,current_requirement_type,proposed_requirement_type,confidence,high_confidence_reason,jd_source_phrase,jd_source_section,current_importance,current_human_match_label,removing_from_matchable_changes_match_score_denominator,affected_job,job_current_matchable_count,job_matchable_count_after_this_correction,prior_rubric_decision_reference
A_matchable_to_eligibility,reqv2_ffe72039c28ab86a,微信-语音识别算法工程师,硕士及以上学历,matchable,eligibility,very_high,Standalone degree-level requirement '硕士及以上学历'. Degree level is an explicit recruiting qualification handled by the deterministic eligibility layer; not a resume-verifiable capability.,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,preferred,Preferred,Strong,True,tencent:2064981110395420672,3,2,
A_matchable_to_eligibility,reqv2_c947d1b13c08af32,AI 产品经理实习生（J103757）,计算机或人工智能相关专业,matchable,eligibility,high,Education major/background framed as a recruiting qualification. Belongs in the eligibility layer.,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,preferred,Preferred,Strong,True,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,1,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_0431fe88ab60c3c3,AI产品经理（J84006）,计算机或人工智能相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、人工智能等相关专业优先').,本科及以上学历，计算机、人工智能等相关专业优先,preferred,Preferred,Strong,True,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,1,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_43b703bc49720527,AI产品经理（J96736）,计算机、人工智能或数学相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、人工智能、数学或相关专业优先').,本科及以上学历，计算机、人工智能、数学或相关专业优先,preferred,Preferred,Strong,True,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,0,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_48610f0c3e734912,北京-AI产品经理(J100665),计算机、人工智能或信息管理相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、人工智能、信息管理等相关专业优先').,本科及以上学历，计算机、人工智能、信息管理等相关专业优先,preferred,Preferred,Strong,True,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,0,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_3961432f6ab7ec4d,北京-用户产品经理(J100806),计算机或信息管理相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、信息管理等相关专业优先').,本科及以上学历，计算机、信息管理等相关专业优先,preferred,Preferred,Strong,True,baidu:1270fb70-730e-4569-9385-b013690e607d,2,1,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_6907a4e2deac1add,腾讯会议-评测产品经理,计算机 / AI / 语言学 / 数据分析 / 人机交互相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、人工智能、语言学、数据分析、人机交互或相关专业优先').,1.本科及以上学历，计算机、人工智能、语言学、数据分析、人机交互或相关专业优先；,preferred,Preferred,Strong,True,tencent:2041409199149314048,3,2,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_ddd61beb368e5153,微信-语音识别算法工程师,计算机 / 人工智能 / 语音信号处理相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、人工智能、语音信号处理等相关专业').,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,preferred,Preferred,Strong,True,tencent:2064981110395420672,3,2,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_9aba33d812261db8,北京-策略产品经理(J100784),熟练使用 SQL 等数据工具,matchable,eligibility,high,Education major framed as a recruiting qualification ('计算机、统计学、数学等相关专业优先').,具备较强的数据分析能力，熟练使用SQL等数据工具,requirements,Important,Strong,True,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,2,degree_preference_edge_case
A_matchable_to_eligibility,reqv2_8c4d70d605961309,大模型策略产品经理（J97330）,戏剧影视文学、创意写作或文学相关专业,matchable,eligibility,high,Education major framed as a recruiting qualification ('戏剧影视文学、创意写作、文学等相关专业优先').,-本科及以上学历，戏剧影视文学、创意写作、文学等相关专业优先,preferred,Preferred,Missing,True,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,3,degree_preference_edge_case
B_matchable_to_subjective,reqv2_e913e8618fce3ef0,腾讯会议-AI产品经理-ASR方向,用户感知力与问题发现解决能力,matchable,subjective,high,Bare trait phrase: '用户感知力' + 主动发现并解决问题. No verifiable experience / deliverable content.,3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。,requirements,Important,Strong,True,tencent:2036621556322562048,3,2,soft_skill_ability_kept_matchable
B_matchable_to_subjective,reqv2_d51e7d995d268f8f,证券-AI产品经理-金融AI应用体验方向,产品判断力与用户共情能力,matchable,subjective,high,"Bare trait phrase: '产品判断力与用户共情能力'. Aptitude/attitude trait, no verifiable evidence anchor.",具备优秀的产品判断力与用户共情能力，,requirements,Important,Strong,True,tencent:2052527703940313088,6,5,soft_skill_ability_kept_matchable
B_matchable_to_subjective,reqv2_a7e657643b65384a,AI大模型架构师（训练/推理）,快速掌握新技术的能力,matchable,subjective,high,Bare trait phrase: '快速掌握新技术的能力' / '独立、主动的学习能力'. Learning-ability trait.,4. 能快速接受和掌握新技术，有较强的独立、主动的学习能力。,requirements,Important,Partial,True,huawei:28183,8,7,soft_skill_ability_kept_matchable
B_matchable_to_subjective,reqv2_7ed2b166528d9d17,大模型产品经理（J72652）,沟通推动、协作与表达能力,matchable,subjective,high,Bare trait phrase: '沟通推动、合作和表达能力' + '抗压性强'. Communication / resilience traits.,-具备较强的沟通推动、合作和表达能力，积极乐观，抗压性强,requirements,Important,Strong,True,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,3,soft_skill_ability_kept_matchable
B_matchable_to_subjective,reqv2_bee05a7871209904,腾讯云-经营系统产品经理,沟通协调与跨团队沟通能力,matchable,subjective,high,"Bare trait phrase: '沟通协调能力' / '跨团队沟通'. Communication trait, no work anchor.",2.有良好的沟通协调能力，能胜任跨团队沟通；,requirements,Important,Strong,True,tencent:2078278970276753408,3,2,soft_skill_ability_kept_matchable
