order,job_id,company,job_title,city,recruitment_type,role_category,pilot_reference,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,job_human_match_fit
1,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,full-time,ai_product,true,reqv2_6edf5f6bcf57e922,"2+ years working on a dedicated AI product team, shipping AI features as a core member.",至少两年专职 AI 产品团队经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证的 AI 产品经历为短期实习与项目，明显不足两年专职 AI 产品团队经验。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证的 AI 产品经历为短期实习与项目，明显不足两年专职 AI 产品团队经验。,,accept,,accepted,3
1,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,full-time,ai_product,true,reqv2_7d915e68d837899a,"Hands-on experience designing, delivering, or continuously improving AI Agent products, including prompt/context engineering, human-in-the-loop workflows, and AI quality evaluation.",AI Agent 设计交付、上下文工程、人机协同与质量评估的动手经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,GoFin 的对话流程、用户确认（human-in-the-loop）、上下文管理、迭代交付与模型评估覆盖主要动手组成部分。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,已有 AI/LLM 产品交付、RAG 与模型评估实践，但冻结证据不足以直接证明 prompt/context engineering 与 human-in-the-loop workflow 的完整实践覆盖，因此整体应为 Partial 而非 Strong。,AI 建议 Strong → 人工改为 Partial；保留原有有效证据。,accept,,edited,3
1,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,full-time,ai_product,true,reqv2_9c1610fa5e9a8954,"Experience with enterprise SaaS products, configurable platforms, or multi-tenant product environments.",企业 SaaS、可配置平台或多租户产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28,有可配置的财务平台产品经历，但没有企业 SaaS 或多租户环境的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:28,有可配置的财务平台产品经历，但没有企业 SaaS 或多租户环境的明确证据。,,accept,,accepted,3
2,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,internship,ai_product,true,reqv2_591c6410df001273,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,本科及以上学历（在读）,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已确认校招身份且当前在读 UNSW 双硕士、已完成厦门大学软件工程本科，满足本科及以上在读门槛。,accepted AI taxonomy,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已确认校招身份且当前在读 UNSW 双硕士、已完成厦门大学软件工程本科，满足本科及以上在读门槛。,,accept,,accepted,5
2,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,internship,ai_product,true,reqv2_c947d1b13c08af32,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,计算机或人工智能相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖计算机/人工智能相关专业偏好；JD 明确“专业不限”，故此项为加分而非门槛。,accepted AI taxonomy,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖计算机/人工智能相关专业偏好；JD 明确“专业不限”，故此项为加分而非门槛。,,accept,,accepted,5
2,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,internship,ai_product,true,reqv2_ab313b520bea36f1,对 AI 产品充满热情，有深度使用经验,具有 AI 产品深度使用经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,中国电子云大模型实习与 GoFin 的 LLM 产品设计、交付记录支持对 AI 产品的深度使用与实践。,accepted AI taxonomy,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,中国电子云大模型实习与 GoFin 的 LLM 产品设计、交付记录支持对 AI 产品的深度使用与实践。,,accept,,accepted,5
3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,北京,experienced,ai_product,false,reqv2_49ba54d4a51f8a1f,本科及以上学历，计算机、人工智能等相关专业优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证软件工程本科与在读硕士教育记录满足本科及以上学历。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证软件工程本科与在读硕士教育记录满足本科及以上学历。,,accept,,accepted,3
3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,北京,experienced,ai_product,false,reqv2_0431fe88ab60c3c3,本科及以上学历，计算机、人工智能等相关专业优先,计算机或人工智能相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖相关专业偏好。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖相关专业偏好。,,accept,,accepted,3
3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,北京,experienced,ai_product,false,reqv2_5e6ddc3dc186642c,具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先,两年以上产品设计经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足两年产品设计经验。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足两年产品设计经验。,,accept,,accepted,3
3,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,AI产品经理（J84006）,北京,experienced,ai_product,false,reqv2_c5c5a841f5fb83b6,具有 2 年及以上产品设计经验，有多模态大模型应用、AIGC、或社交娱乐类产品经验者优先,多模态大模型应用 / AIGC / 社交娱乐类产品经验,preferred,matchable,Preferred,,,,true,Missing,,,有 LLM/对话式产品经验，但没有多模态大模型、AIGC 或社交娱乐类产品的已验证证据。,matchable,Missing,,,有 LLM/对话式产品经验，但没有多模态大模型、AIGC 或社交娱乐类产品的已验证证据。,,accept,,accepted,3
4,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,北京,experienced,ai_product,false,reqv2_f1a341a9f6294ba8,国内重点院校本科/研究生毕业，有语音交互大模型等相关方向工作经验或科研项目经历优先,国内重点院校本科/研究生毕业,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,厦门大学（985）软件工程本科已验证，满足国内重点院校本科毕业。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,厦门大学（985）软件工程本科已验证，满足国内重点院校本科毕业。,,accept,,accepted,3
