job_id,candidate_n,company,title,location,career_stage_candidate,career_stage_validated,role_family_candidate,role_family_validated,ai_subdomain_tags,language,source_job_id,job_url,jd_verbatim_verified,acceptance_status
baidu:31e3795e-d5fd-4573-854b-960ab1fcf46a,4,百度,北京-产品经理(J100820),北京市,campus_new_grad,campus_new_grad,general_product,general_product,,zh,J100820,https://talent.baidu.com/jobs/detail/GRADUATE/31e3795e-d5fd-4573-854b-960ab1fcf46a,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
baidu:950150b6-f8d8-454e-8cc8-88a2b046e96a,5,百度,上海-用户产品经理(J101084),上海市,campus_new_grad,campus_new_grad,general_product,general_product,recommendation_search,zh,J101084,https://talent.baidu.com/jobs/detail/GRADUATE/950150b6-f8d8-454e-8cc8-88a2b046e96a,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
baidu:9a93f28d-aae0-4098-a5d0-aabc54633d98,7,百度,云原生产品经理(J104071),北京市/上海市,experienced,experienced,platform_enterprise_product,platform_enterprise_product,ai_infrastructure|ai_platform|agent,zh,J104071,https://talent.baidu.com/jobs/detail/SOCIAL/9a93f28d-aae0-4098-a5d0-aabc54633d98,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
baidu:ceb7d9ad-295e-4a9f-a53d-7cb856e720dc,8,百度,AI产品经理(J100616),深圳市,experienced,experienced,ai_product,ai_product,speech_asr|ai_consumer_products|ai_commercialisation,zh,J100616,https://talent.baidu.com/jobs/detail/SOCIAL/ceb7d9ad-295e-4a9f-a53d-7cb856e720dc,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
baidu:3d4822dd-dc02-4988-ad9c-436550059c6d,9,百度,AI高级产品经理(J100620),深圳市,experienced,experienced,ai_product,ai_product,speech_asr|ai_productivity,zh,J100620,https://talent.baidu.com/jobs/detail/SOCIAL/3d4822dd-dc02-4988-ad9c-436550059c6d,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
jd:212557,10,京东,AI Agent产品经理,北京市,experienced,experienced,platform_enterprise_product,platform_enterprise_product,agent|rag_knowledge_systems|ai_platform,zh,212557,https://zhaopin.jd.com/web/job-info-detail?requementId=212557,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
jd:218961,11,京东,AI产品经理,北京市,experienced,experienced,ai_product,ai_product,llm_applications|recommendation_search,zh,218961,https://zhaopin.jd.com/web/job-info-detail?requementId=218961,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
jd:220156,12,京东,AI产品经理,北京市,experienced,unknown,ai_product,ai_product,multimodal|ai_consumer_products,zh,220156,https://zhaopin.jd.com/web/job-info-detail?requementId=220156,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
jd:218876,13,京东,产品经理,北京市,unknown,unknown,platform_enterprise_product,platform_enterprise_product,enterprise_ai|rag_knowledge_systems,zh,218876,https://zhaopin.jd.com/web/job-info-detail?requementId=218876,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
jd:215614,14,京东,数据产品经理,北京市,experienced,experienced,data_product,data_product,enterprise_ai,zh,215614,https://zhaopin.jd.com/web/job-info-detail?requementId=215614,False,STAGED_PROVISIONAL_NOT_IN_CORPUS
