job_id,company,title,city,role_category,language,requirement_id,source_text,normalized_requirement,source_section,importance_suggestion,match_label_suggestion,evidence_ids_suggestion,grounding_reason_suggestion,human_requirement,human_importance,human_match_label,human_evidence_ids,human_overall_fit,review_status,reviewer_notes,job_overall_fit_suggestion
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,R01,本科及以上学历在读,本科及以上学历在读,requirements_text,Critical,Strong,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已确认校招身份，且教育记录包含在读硕士和已完成本科学历。,,,,,,pending,,5
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,R02,计算机、人工智能等相关专业优先,计算机或人工智能相关专业,requirements_text,Preferred,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科及 AI 方向信息技术硕士直接覆盖相关专业偏好。,,,,,,pending,,5
baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,R03,对 AI 产品充满热情，有深度使用经验,具有 AI 产品深度使用经验,requirements_text,Important,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,大模型实习和 GoFin 的 LLM 产品设计、交付记录能够具体支持深度使用与产品实践。,,,,,,pending,,5
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R01,一年以上 AI/Agent 产品经验,至少一年 AI/Agent 产品经验,requirements_text,Critical,Partial,resume_extracted:21|resume_extracted:28,存在直接 AI 产品与 Agent/LLM 项目证据，但记录时长不足以证明一年以上。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R02,有完整落地项目经历,具有完整 AI 产品落地经历,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 记录覆盖需求、设计、跨职能协作、迭代交付及上线功能。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R03,计算机科学或相关技术领域的本科及以上学历,计算机相关本科及以上学历,requirements_text,Critical,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科及信息技术（AI）硕士直接满足学历和专业方向。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R04,对AI行业趋势和大模型技术有较为深刻的理解和热情,理解 AI 行业趋势与大模型技术,requirements_text,Important,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,大模型实习与 LLM 产品开发、集成经历提供了直接技术和应用证据。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R05,具备 Agent 评测相关经验者优先,Agent 评测经验,requirements_text,Preferred,Partial,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估和 Agent 类产品测试经历，但没有明确的 Agent 专项评测体系证据。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R06,能够与工程师在Agent架构层面有效对焦,能与工程团队对齐 Agent 架构,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,GoFin 中有 LLM 后端集成和跨前后端、AI 团队协作的直接记录。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R07,注重用户体验和反馈，具备较好的动手能力、逻辑能力、系统思考能力和表达能力,用户反馈驱动、动手验证与系统思考能力,requirements_text,Important,Strong,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,多项经历记录了客户反馈分析、产品流程设计、亲自验证和跨团队表达。,,,,,,pending,,4
tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,R08,有对话/推荐/搜索、知识管理、开放平台/插件/Agent/MCP 生态、AI 效率工具等相关产品经验者优先,相关 AI 产品生态经验,requirements_text,Preferred,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,具备对话式 Agent、RAG 与 AI 工具经验，但没有开放平台、插件或 MCP 生态的明确证据。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R01,3年以上互联网产品经验,至少三年互联网产品经验,requirements_text,Critical,Partial,resume_extracted:21|resume_extracted:28,有直接产品项目和 AI 产品实习经历，但已验证时间不足三年。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R02,有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验,具有 AI 原生或 Agent 产品完整落地经验,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 是完整交付的 LLM/对话式产品，覆盖需求到迭代落地。,,,,,,pending,,4
