model,job_id,matchable_requirement_count,latency_ms,input_tokens,output_tokens,reasoning_tokens,total_tokens,retry_count,schema_ok,norm_ok
qwen3.8-max,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,2,11438.1,3087,679,0,3766,0,True,True
qwen3.8-max,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,9029.7,3043,561,0,3604,0,True,True
qwen3.8-max,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,8881.5,3063,566,0,3629,0,True,True
qwen3.8-max,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,3,13229.5,3153,850,0,4003,0,True,True
qwen3.8-max,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,3665.4,2974,180,0,3154,0,True,True
qwen3.8-max,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,3,12164.0,3121,777,0,3898,0,True,True
qwen3.8-max,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,3964.1,2974,183,0,3157,0,True,True
qwen3.8-max,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,15103.2,3233,983,0,4216,0,True,True
qwen3.8-max,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,3,13857.8,3131,903,0,4034,0,True,True
qwen3.8-max,tencent:2092538895714664448,2,9439.0,3079,594,0,3673,0,True,True
qwen3.8-max,tencent:2088450750270324736,5,14708.2,3363,1019,0,4382,0,True,True
qwen3.8-max,tencent:2077347119940939776,1,9045.7,2992,503,0,3495,0,True,True
qwen3.8-max,tencent:1978467627152072704,8,22899.4,3667,1629,0,5296,0,True,True
qwen3.8-max,tencent:2036621556322562048,3,11547.4,3161,780,0,3941,0,True,True
qwen3.8-max,tencent:2052527703940313088,6,19896.3,3377,1301,0,4678,0,True,True
qwen3.8-max,greenhouse:4186650005,3,9965.7,3184,643,0,3827,0,True,True
qwen3.8-max,tencent:2077246089718837248,2,8220.5,3101,588,0,3689,0,True,True
qwen3.8-max,tencent:2013806539382611968,3,12118.7,3168,806,0,3974,0,True,True
qwen3.8-max,tencent:2047239002926510080,9,20233.3,3540,1466,0,5006,0,True,True
qwen3.8-max,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,1,5379.6,2970,326,0,3296,0,True,True
qwen3.8-max,baidu:1270fb70-730e-4569-9385-b013690e607d,2,8615.4,3039,549,0,3588,0,True,True
qwen3.8-max,tencent:1994013057063473152,3,11811.9,3121,903,0,4024,0,True,True
qwen3.8-max,tencent:2078278970276753408,3,11976.6,3160,832,0,3992,0,True,True
qwen3.8-max,tencent:2041409199149314048,3,9213.5,3196,712,0,3908,0,True,True
qwen3.8-max,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,2,9392.9,3068,561,0,3629,0,True,True
qwen3.8-max,huawei:28183,8,18973.3,3529,1507,0,5036,0,True,True
qwen3.8-max,tencent:2064981110395420672,3,8884.4,3146,626,0,3772,0,True,True
qwen3.8-max,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,9744.3,3107,699,0,3806,0,True,True
qwen3.8-max,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,13619.5,3216,796,0,4012,0,True,True
qwen3.8-max,tencent:2083093175941115904,5,13006.6,3258,921,0,4179,0,True,True
