model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
qwen3.8-max,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,Missing,Partial,,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:23,True,候选人有LLM集成、RAG及AI大模型实习等产品相关实践，但证据仅体现通用大模型应用，未明确涉及多模态或社交娱乐类产品，且正式产品设计经验时长不足2年。,misclassification
qwen3.8-max,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,reqv2_e3eb1e145f323224,熟悉 AI 领域或医疗健康行业,Strong,Partial,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:education:0,True,候选人在AI大模型应用、RAG及LLM集成方面有直接实践，符合AI领域熟悉度；但无医疗健康行业相关证据，仅满足复合条件中的一项。,misclassification
qwen3.8-max,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_49c9c07f1ba12d7b,对大模型数据质量与评估有判断力,Partial,Strong,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:29|resume_extracted:resume:1:ai_experience:11|resume_extracted:22|resume_extracted:21,True,个人NLP项目完成模型训练评估与情感分析，简历明确列出模型性能评估经验，实习中执行数据清洗与特征工程，证明对大模型数据质量与评估具备实操判断力。,misclassification
qwen3.8-max,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,reqv2_7e3a449a4232300b,AI 平台类或 B 端产品经验,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:21|resume_extracted:23|resume_extracted:resume:1:ai_experience:0,True,GoFin 智能财务目标管理平台作为 B 端/AI 类产品，候选人担任 Product Owner 负责 LLM 集成与 RAG；中国电子云 AI 大模型实习直接参与大模型应用方向探索与竞品分析，构成直接的 AI 平台及 B 端产品经验。,misclassification
qwen3.8-max,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,reqv2_f7ca00a2f542fb78,复杂需求抽象、客户场景理解与产品工具使用,Partial,Strong,resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:product_experience:5,resume_extracted:28|resume_extracted:18|resume_extracted:21|resume_extracted:resume:1:product_experience:7,True,在 GoFin 项目中负责 User Stories、Backlog 及客户反馈分析，体现复杂需求抽象与客户场景理解；KPay 实习中搭建潜客数据架构与 ETL，展示产品工具与数据化手段的实际应用。,misclassification
qwen3.8-max,tencent:2088450750270324736,腾讯,reqv2_377262a20b779d20,具有完整 AI 产品落地经历,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:product_experience:9,True,GoFin项目涉及LLM集成与RAG且担任Product Owner负责交付，中国电子云实习探索大模型应用方向，具备AI产品实践但完整落地闭环证据尚不充分。,misclassification
qwen3.8-max,tencent:2088450750270324736,腾讯,reqv2_f10bb045c924ce66,Agent 评测经验,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
qwen3.8-max,tencent:2088450750270324736,腾讯,reqv2_17b2403b35e713d3,能与工程团队在 Agent 架构层面有效对齐,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:21,True,作为Product Owner负责LLM集成与RAG需求，并协调前端、后端、AI等跨职能团队交付，直接证明能在Agent相关架构层面与工程团队有效对齐。,misclassification
qwen3.8-max,tencent:2077347119940939776,腾讯,reqv2_9149c4b1d212048c,AI Agent、大模型应用或智能助手类产品经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:product_experience:5,True,GoFin 项目中明确承担 LLM 集成、RAG 及对话式目标创建等产品职责，中国电子云实习亦涉及大模型应用方向探索，具备直接相关产品经验。但该要求偏好3年以上正式产品经理经验，候选人当前为2027届应届生，正式产品岗时长未达标准。,misclassification
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_aca2f21646c44438,将前沿研究转化为可落地产品方案,Partial,Strong,resume_extracted:21|resume_extracted:28,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:23,True,在中国电子云AI大模型实习中探索大模型应用方向并参与竞品分析，GoFin项目中负责LLM集成与RAG落地，体现将前沿研究转化为产品方案的能力。,misclassification
