order,job_id,company,job_title,city,role_category,language,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,v1_ref,job_ai_overall_fit_suggestion,job_human_match_fit,job_human_overall_fit
1,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,reqv2_591c6410df001273,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,本科及以上学历（在读）,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已确认校招身份且当前在读 UNSW 双硕士、已完成厦门大学软件工程本科，满足本科及以上在读门槛。,accepted AI taxonomy,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已确认校招身份且当前在读 UNSW 双硕士、已完成厦门大学软件工程本科，满足本科及以上在读门槛。,,accept,,accepted,R01(Critical/Strong),5,5,5
1,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,reqv2_c947d1b13c08af32,本科及以上学历在读，专业不限，计算机、人工智能等相关专业优先,计算机或人工智能相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖计算机/人工智能相关专业偏好；JD 明确“专业不限”，故此项为加分而非门槛。,accepted AI taxonomy,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接覆盖计算机/人工智能相关专业偏好；JD 明确“专业不限”，故此项为加分而非门槛。,,accept,,accepted,R02(Preferred/Strong),5,5,5
1,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,百度,AI 产品经理实习生（J103757）,北京,ai_product,Chinese,reqv2_ab313b520bea36f1,对 AI 产品充满热情，有深度使用经验,具有 AI 产品深度使用经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,中国电子云大模型实习与 GoFin 的 LLM 产品设计、交付记录支持对 AI 产品的深度使用与实践。,accepted AI taxonomy,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,中国电子云大模型实习与 GoFin 的 LLM 产品设计、交付记录支持对 AI 产品的深度使用与实践。,,accept,,accepted,R03(Important/Strong) 的经验部分,5,5,5
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_2b768a7f23c2d2c4,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,一年以上 AI/Agent 产品经验,experience,eligibility,Critical,experience_years,,,false,,Unknown,,存在 AI 产品实习与 Agent/LLM 项目，但已验证的经历时长不足以确认满一年的专职 AI/Agent 产品经验；缺少证据不等于不满足。,accepted AI taxonomy,,Unknown,,存在 AI 产品实习与 Agent/LLM 项目，但已验证的经历时长不足以确认满一年的专职 AI/Agent 产品经验；缺少证据不等于不满足。,,accept,,accepted,R01(Critical/Partial),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_9e319f3dffc2693d,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,计算机相关本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接满足计算机相关本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接满足计算机相关本科及以上学历。,,accept,,accepted,R03(Critical/Strong),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_377262a20b779d20,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,具有完整 AI 产品落地经历,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 记录覆盖需求、设计、跨职能协作、迭代交付与上线功能，构成完整落地经历。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 记录覆盖需求、设计、跨职能协作、迭代交付与上线功能，构成完整落地经历。,,accept,,accepted,R02(Important/Strong),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_f25785d85ec31cad,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,深入理解 AI 行业趋势与大模型技术,requirements,knowledge,Important,,大模型技术|AI 行业趋势,要求对大模型技术与 AI 行业趋势具备较为深刻的理解；属于概念/趋势理解，履历证据难以稳定证明理解深度。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R04(Important/Strong),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_f10bb045c924ce66,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,Agent 评测经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估与 Agent 类产品测试经历，但没有针对 Agent 的专项评测体系证据。,accepted AI taxonomy,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估与 Agent 类产品测试经历，但没有针对 Agent 的专项评测体系证据。,,accept,,accepted,R05(Preferred/Partial),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_17b2403b35e713d3,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,能与工程团队在 Agent 架构层面有效对齐,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,有 LLM 后端集成与跨前后端/AI 团队协作记录，但没有在 Agent 架构层面与工程师对齐的直接证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,有 LLM 后端集成与跨前后端/AI 团队协作记录，但没有在 Agent 架构层面与工程师对齐的直接证据。,,accept,,accepted,R06(Important/Strong),4,4,4
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_2f350c257de37080,注重用户体验和反馈，具备较好的动手能力、逻辑能力、系统思考能力和表达能力，实事求是；,用户反馈驱动、动手验证与系统思考能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,多段经历记录客户反馈分析、产品流程设计、亲自验证与跨团队表达。,accepted AI taxonomy,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,多段经历记录客户反馈分析、产品流程设计、亲自验证与跨团队表达。,,accept,,accepted,R07(Important/Strong),4,4,4
