job_id,paste_index,provisional_title,company,company_status,location,language,career_stage,role_family,ai_subdomain_tags,source_type,source_url,source_verification_status,jd_verbatim_verified,text_cleanup_applied,corrupted_text_removed,requirement_candidates_heuristic_count,acceptance_status
v2paste:868864e12ac26973,1,校招-AI产品经理（人才专项）,unknown,unknown,unknown,zh,campus_new_grad,ai_product,llm_applications|agent|rag_knowledge_systems,human_pasted_real_jd,,pending,False,True,True,18,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:8bd2292a5974ba67,2,AI策略产品经理,字节跳动 (ByteDance),known,unknown,zh,campus_new_grad,ai_product,llm_applications|ai_consumer_products,human_pasted_real_jd,,pending,False,True,False,10,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:ee7963fc9c8e9269,3,平台AI产品经理,unknown,unknown,unknown,zh,unknown,platform_enterprise_product,ai_platform|enterprise_ai|ai_productivity,human_pasted_real_jd,,pending,False,True,False,10,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:703edc23c7fecb6d,4,增长产品经理（平台经营）,水滴公司 (Waterdrop),known,unknown,zh,unknown,strategy_growth_fintech_product,,human_pasted_real_jd,,pending,False,True,True,19,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:7e2e8c407af8714d,5,产品经理（AI / 网络安全）,unknown,unknown,unknown,zh,unknown,platform_enterprise_product,,human_pasted_real_jd,,pending,False,False,False,6,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:2bb44a57a387a772,6,用户增长-用户运营管培生,unknown,unknown,unknown,zh,unknown,mismatched_control,,human_pasted_real_jd,,pending,False,True,True,20,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:1fd71cf17ec81050,7,AI产品经理（AI业务）,unknown,unknown,unknown,zh,unknown,ai_product,llm_applications|ai_consumer_products,human_pasted_real_jd,,pending,False,False,False,6,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:b7478b70d7f11a86,8,ai产品经理,字节跳动 (ByteDance),known,unknown,zh,campus_new_grad,platform_enterprise_product,agent|rag_knowledge_systems|ai_platform|enterprise_ai,human_pasted_real_jd,,pending,False,False,False,10,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:d1b0250f8ddc404a,9,AI产品经理,unknown,unknown,unknown,zh,unknown,ai_product,llm_applications,human_pasted_real_jd,,pending,False,False,False,17,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:2510a8a8dd701350,10,AI产品经理,unknown,unknown,unknown,zh,experienced,platform_enterprise_product,recommendation_search|llm_applications|enterprise_ai,human_pasted_real_jd,,pending,False,True,False,10,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:7f32e30979884c48,11,AI产品经理（游戏方案设计）,unknown,unknown,北京市,zh,campus_new_grad,ai_product,llm_applications|ai_tools,human_pasted_real_jd,,pending,False,True,False,9,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:8235e9715765d378,12,27届 ASP）AI产品经理培训生,unknown,unknown,unknown,zh,campus_new_grad,ai_product,llm_applications|agent,human_pasted_real_jd,,pending,False,False,False,10,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:f441346f5cebbaa0,13,AI产品经理（智能体平台 / 知识管理平台）,unknown,unknown,unknown,zh,unknown,platform_enterprise_product,agent|ai_platform|rag_knowledge_systems|enterprise_ai,human_pasted_real_jd,,pending,False,True,False,12,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:1c2c780cb980a76a,14,产品经理（AI方向）,unknown,unknown,unknown,zh,unknown,ai_product,llm_applications|ai_consumer_products,human_pasted_real_jd,,pending,False,True,True,18,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:74c7e52f7d3795f1,15,产品经理,unknown,unknown,unknown,zh,campus_new_grad,general_product,,human_pasted_real_jd,,pending,False,False,False,9,STAGED_PROVISIONAL_NOT_IN_CORPUS
v2paste:1bcbc456132ab15e,16,游戏AI产品经理（北京）,unknown,unknown,北京市,zh,campus_new_grad,ai_product,llm_applications|agent|multimodal|recommendation_search,human_pasted_real_jd,,pending,False,False,False,12,STAGED_PROVISIONAL_NOT_IN_CORPUS
