model,job_id,matchable_requirement_count,latency_ms,input_tokens,output_tokens,reasoning_tokens,total_tokens,retry_count,schema_ok,norm_ok
claude-sonnet-4-5-20250929,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,2,17677.2,4774,679,0,5453,0,True,True
claude-sonnet-4-5-20250929,baidu:0ad545f8-07df-42f1-9a10-28e79d5dc407,2,14298.9,4745,671,0,5416,0,True,True
claude-sonnet-4-5-20250929,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,2,11108.2,4781,611,0,5392,0,True,True
claude-sonnet-4-5-20250929,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,3,12450.5,4904,682,0,5586,0,True,True
claude-sonnet-4-5-20250929,baidu:6182a4d3-51af-4396-af24-a3d690326bff,1,5944.6,4657,221,0,4878,0,True,True
claude-sonnet-4-5-20250929,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,3,18586.0,4875,774,0,5649,0,True,True
claude-sonnet-4-5-20250929,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,1,5785.1,4663,201,0,4864,0,True,True
claude-sonnet-4-5-20250929,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,4,26098.4,5002,1168,0,6170,0,True,True
claude-sonnet-4-5-20250929,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,3,20763.0,4869,926,0,5795,0,True,True
claude-sonnet-4-5-20250929,tencent:2092538895714664448,2,18840.7,4799,781,0,5580,0,True,True
claude-sonnet-4-5-20250929,tencent:2088450750270324736,5,25462.2,5186,1143,0,6329,0,True,True
claude-sonnet-4-5-20250929,tencent:2077347119940939776,1,14162.1,4683,576,0,5259,0,True,True
claude-sonnet-4-5-20250929,tencent:1978467627152072704,8,42848.1,5566,1847,0,7413,0,True,True
claude-sonnet-4-5-20250929,tencent:2036621556322562048,3,20230.1,4907,883,0,5790,0,True,True
claude-sonnet-4-5-20250929,tencent:2052527703940313088,6,35118.6,5164,1535,0,6699,0,True,True
claude-sonnet-4-5-20250929,greenhouse:4186650005,3,13388.7,4856,706,0,5562,0,True,True
claude-sonnet-4-5-20250929,tencent:2077246089718837248,2,22659.9,4846,931,0,5777,0,True,True
claude-sonnet-4-5-20250929,tencent:2013806539382611968,3,22680.4,4924,975,0,5899,0,True,True
claude-sonnet-4-5-20250929,tencent:2047239002926510080,9,33033.8,5344,1557,0,6901,0,True,True
claude-sonnet-4-5-20250929,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,1,7804.2,4644,373,0,5017,0,True,True
claude-sonnet-4-5-20250929,baidu:1270fb70-730e-4569-9385-b013690e607d,2,15783.1,4743,644,0,5387,0,True,True
claude-sonnet-4-5-20250929,tencent:1994013057063473152,3,25980.8,4838,1130,0,5968,0,True,True
claude-sonnet-4-5-20250929,tencent:2078278970276753408,3,17813.8,4928,763,0,5691,0,True,True
claude-sonnet-4-5-20250929,tencent:2041409199149314048,3,18379.4,4960,957,0,5917,0,True,True
claude-sonnet-4-5-20250929,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,2,21540.2,4733,893,0,5626,0,True,True
claude-sonnet-4-5-20250929,huawei:28183,8,25489.3,5326,1516,0,6842,0,True,True
claude-sonnet-4-5-20250929,tencent:2064981110395420672,3,19342.4,4901,838,0,5739,0,True,True
claude-sonnet-4-5-20250929,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,3,19822.3,4839,870,0,5709,0,True,True
claude-sonnet-4-5-20250929,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,4,18338.8,4969,880,0,5849,0,True,True
claude-sonnet-4-5-20250929,tencent:2083093175941115904,5,25006.9,5010,1162,0,6172,0,True,True
