scenario_id,category,job_title,requirement_text,requirement_type,importance,draft_expected_label,draft_rationale,exact_frozen_evidence,neutral_requested_capability,neutral_evidenced_or_adjacent,neutral_absent,human_match_label,human_match_notes,human_review_status
A01,technology_adjacency,多模态大模型产品经理,具备图文 / 视频 / 语音多模态大模型产品经验,matchable,Critical,Missing,仅 LLM/RAG，无多模态(图文/视频/语音)大模型产品证据,"LLM application development (ai_experience:0), RAG (ai_experience:4), GoFin conversational LLM (ev 28)",图文/视频/语音多模态大模型产品经验,"LLM application development (ai_experience:0), RAG (ai_experience:4), GoFin conversational LLM (ev 28)",multimodal (image/video/speech) large-model product experience,,,pending
A08,technology_adjacency,强化学习训练产品经理,有 RLHF / 强化学习 / 偏好对齐训练经验,matchable,Critical,Missing,"仅一般模型训练辅助与性能评估；大模型精度调优/基模/强化学习训练技术相邻不足以判 Partial (ev 22,ai_experience:11)",data cleaning + feature engineering + data support for model training (ev 22); 模型性能评估 (ai_experience:11),RLHF / 强化学习 / 偏好对齐训练经验,data cleaning + feature engineering + data support for model training (ev 22); 模型性能评估 (ai_experience:11),RLHF / RL / preference-alignment training ownership,,,pending
A08,technology_adjacency,强化学习训练产品经理,有模型效果评估经验,matchable,Important,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)","KPI / training data / 模型性能评估 (ev 19, 22, ai_experience:11); NLP project 模型训练评估 (ev 29)",模型效果评估经验,"KPI / training data / 模型性能评估 (ev 19, 22, ai_experience:11); NLP project 模型训练评估 (ev 29)",independently designed AI-product evaluation set,,,pending
B01,project_vs_formal_work,资深 AI 产品经理,3 年以上正式 AI 产品经理工作经验,eligibility,Critical,PotentialGap,已验证为早期职业/应届+实习+单段 Product Owner，与‘3年以上正式工作经验’门槛存在明确冲突,"verified job-seeker identity: 应届 / 校招, 2027届 (manual_confirmed); internships + one Product-Owner project",3 年以上正式 AI 产品经理工作经验 (eligibility gate),"verified job-seeker identity: 应届 / 校招, 2027届 (manual_confirmed); internships + one Product-Owner project",3+ years of formal AI-PM employment tenure — explicit conflict with verified new-grad status,,,pending
B03,project_vs_formal_work,AI 应用交付产品经理,有 AI 功能的完整动手交付经验（强调实操而非正式任职年限）,matchable,Critical,Strong,"GoFin 完整落地：需求→设计→跨职能→迭代→上线 (ev 28,product_experience:9)","GoFin full landing: 需求→设计→跨职能→迭代→上线 (ev 28, product_experience:9); LLM/RAG delivery",有 AI 功能的完整动手交付经验（强调实操而非正式任职年限）,"GoFin full landing: 需求→设计→跨职能→迭代→上线 (ev 28, product_experience:9); LLM/RAG delivery",none material for the hands-on framing (repeated delivery not required by this requirement),,,pending
C03,strong_partial_boundary,数据产品经理,曾以数据产品经理身份独立负责完整数据产品,matchable,Critical,Partial,"有数据体系/运营/产品策划，但未以数据产品经理身份负责完整产品 (ev 16,18,28)","data systems / 潜客数据架构 / ETL (ev 18); growth-ops (ev 16); product planning (GoFin, ev 28)",曾以数据产品经理身份独立负责完整数据产品,"data systems / 潜客数据架构 / ETL (ev 18); growth-ops (ev 16); product planning (GoFin, ev 28)",ownership of a complete product as a Data Product Manager,,,pending
C06,strong_partial_boundary,大模型应用产品经理,具备 Prompt / 上下文工程的完整实践经验,matchable,Critical,Partial,"LLM/RAG/Agent 交付明确，但无单独可验证的 Prompt/上下文工程完整实践 (ev 28,ai_experience:0,4)","LLM/RAG/Agent delivery in GoFin (ev 28, ai_experience:0, ai_experience:4)",具备 Prompt / 上下文工程的完整实践经验,"LLM/RAG/Agent delivery in GoFin (ev 28, ai_experience:0, ai_experience:4)","a separately verifiable, complete Prompt / context-engineering practice",,,pending
E01,or_alternative,行业 AI 产品经理,有 金融 或 保险 或 支付 行业经验（满足其一即可）,matchable,Critical,Strong,"支付/银行/金融产品/合规 (ev 16,24,26,domain_experience:0)","支付 / 银行 / 金融产品 / 合规 (ev 16, 24, 26, domain_experience:0)",有 金融 或 保险 或 支付 行业经验（满足其一即可）,"支付 / 银行 / 金融产品 / 合规 (ev 16, 24, 26, domain_experience:0)",insurance branch specifically (not required — one branch suffices),,,pending
E03,or_alternative,数据方向产品经理,熟练使用 SQL 或 Python 进行数据分析（满足其一即可）,matchable,Critical,Strong,"SQL 技能目录 + SQL 触发器/归因项目 (ev 18,skills:4)","SQL skill + SQL triggers / attribution project (ev 18, skills:4); Python 百万级数据 EDA (ev 30, skills:0)",熟练使用 SQL 或 Python 进行数据分析（满足其一即可）,"SQL skill + SQL triggers / attribution project (ev 18, skills:4); Python 百万级数据 EDA (ev 30, skills:0)",none material,,,pending
G01,role_core_mismatch,私域用户运营专员,有私域社群 / SCRM 运营经验,matchable,Critical,Missing,无私域社群/SCRM 运营经验,growth-ops (ev domain_experience:3); data analysis (ev 19),有私域社群 / SCRM 运营经验,growth-ops (ev domain_experience:3); data analysis (ev 19),private-domain community / SCRM operations experience,,,pending
