model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
claude-sonnet-4-5-20250929,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,reqv2_9c1610fa5e9a8954,企业 SaaS、可配置平台或多租户产品经验,Partial,Missing,resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
claude-sonnet-4-5-20250929,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_0431fe88ab60c3c3,计算机或人工智能相关专业,Strong,Partial,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:1|resume_extracted:resume:1:education:0,True,候选人拥有厦门大学软件工程学士学位和UNSW信息技术（AI）硕士学位，属于计算机相关专业。但由于候选人为2027届应届生，硕士学位尚未完成，因此判定为部分匹配。,misclassification
claude-sonnet-4-5-20250929,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,百度,reqv2_c5c5a841f5fb83b6,多模态大模型应用 / AIGC / 社交娱乐类产品经验,Missing,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,候选人在中国电子云参与AI大模型实习，探索大模型应用方向，并在GoFin项目中负责LLM集成和RAG应用开发，具备大模型应用经验。但缺少多模态大模型、AIGC或社交娱乐类产品的直接经验，因此判定为部分匹配。,misclassification
claude-sonnet-4-5-20250929,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,reqv2_e3eb1e145f323224,熟悉 AI 领域或医疗健康行业,Strong,Partial,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:22|resume_extracted:23|resume_extracted:resume:1:ai_experience:0,True,"候选人在中国电子云担任AI大模型实习生,参与产品需求讨论、数据清洗、竞品分析,并有大语言模型应用开发和RAG经验,熟悉AI领域。但缺乏医疗健康行业相关经验。",misclassification
claude-sonnet-4-5-20250929,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,reqv2_c3091ed2eca6d9f3,具备一定技术背景,Strong,Partial,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,resume_extracted:21|resume_extracted:22|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:skills:0,True,"候选人具备AI/信息技术双硕士背景,参与过大模型产品需求讨论、数据清洗和LLM应用开发,展现了一定技术理解,但对大模型底层技术的深度理解证据有限。",misclassification
claude-sonnet-4-5-20250929,tencent:2092538895714664448,腾讯,reqv2_7c8882c717660066,独立完成需求分析、产品设计、项目推进与数据迭代,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:19,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:7|resume_extracted:resume:1:product_experience:9,True,候选人在GoFin项目中担任Product Owner，负责需求管理、Backlog、User Stories、跨职能交付和客户反馈，展现了产品设计和项目推进能力。但作为应届生，缺少独立完成完整产品周期和数据迭代的深度经验。,misclassification
claude-sonnet-4-5-20250929,tencent:2088450750270324736,腾讯,reqv2_377262a20b779d20,具有完整 AI 产品落地经历,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人在GoFin项目中担任Product Owner并完成了LLM集成和RAG应用,展现了AI产品落地的项目经验。但该经验为项目性质而非正式工作岗位的完整产品落地经历,在范围和深度上不完全满足要求。",misclassification
claude-sonnet-4-5-20250929,tencent:2088450750270324736,腾讯,reqv2_f10bb045c924ce66,Agent 评测经验,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
claude-sonnet-4-5-20250929,tencent:2088450750270324736,腾讯,reqv2_e0d891d785e65c39,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,Partial,Missing,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
claude-sonnet-4-5-20250929,tencent:2077347119940939776,腾讯,reqv2_9149c4b1d212048c,AI Agent、大模型应用或智能助手类产品经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人在中国电子云参与大模型应用方向探索,在GoFin项目中负责LLM集成和RAG对话式目标创建,具备大模型应用和智能助手类产品的项目经验。但作为应届生缺乏3年以上产品经理正式工作经验,项目经验不等同于要求的专业工作年限。",misclassification
claude-sonnet-4-5-20250929,tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"GoFin项目涉及LLM集成和RAG应用,但该项目为金融科技方向且无明确C端用户规模数据。缺少多模态交互、语音交互(ASR)或Agent方向的产品化落地经验。",misclassification
claude-sonnet-4-5-20250929,tencent:1978467627152072704,腾讯,reqv2_e402249eb2353772,AI 评测体系搭建或策略产品经验,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
